source_type,sequence,working_name,manifest_original_filename,located_master_filename,located_source_root_token,duration_seconds,container,video_summary,audio_summary,size_bytes,sha256,visual_mapping_status,review_frame_timestamps_seconds,visible_sample_text,notes
researchCandidate,1,01_Environment_and_Creation_Path.mp4,01_Environment_and_Creation_Path.MP4,01_Environment_and_Creation_Path.MP4,OWNER_DOWNLOADS,73.57,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,156142794,6f42d3ef2572810fc09ac5138970dee5f325c539925f084a130d3fdcf7c2a0b2,visually_confirmed,5;36;70,Create Player; Appearance; College Football 27,"Primary-research candidate only; environment and Road to Glory creation path evidence; no production records created."
researchCandidate,2,02_Head_Templates_Faces_01-12.mov,02_Appearance_Menu_Part_1.mp4.MOV,02_Appearance_Menu_Part_1.mp4.MOV,OWNER_DOWNLOADS,108.80,QuickTime MOV,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,254684699,b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53,visually_confirmed,5;54;104,Head Template; Face 7,"Primary-research candidate only; sampled frames confirm Head Template coverage; face range still requires complete frame-by-frame audit before records."
researchCandidate,3,03_Head_Templates_Faces_12-29.mov,02_Appearance_Menu_Part_2.mp4.MOV,02_Appearance_Menu_Part_2.mp4.MOV,OWNER_DOWNLOADS,133.02,QuickTime MOV,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,302595103,c348b96b1414927fca5ab12f8a65cc7668a6fdb22a2622c99e11a984d819a302,visually_confirmed,5;66;128,Head Template; Face 20,"Primary-research candidate only; sampled frames confirm Head Template coverage; overlap and total range require complete audit."
researchCandidate,4,04_Skin_Tone.mp4,03_Appearance_Skin_Tone.MP4,03_Appearance_Skin_Tone.MP4,OWNER_DOWNLOADS,53.82,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,128477357,a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146,visually_confirmed,5;26;50,Skin Tone; Skin Tone 06,"Primary-research candidate only; duplicate file with same checksum also present as 7cafeb6e-0488-42e6-8d6d-5836f8e30daf.MP4."
researchCandidate,5,05_Skin_Details.mp4,04_Appearance_Skin_Details.MP4,04_Appearance_Skin_Details.MP4,OWNER_DOWNLOADS,31.72,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,78206366,a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b,visually_confirmed,5;15;28,Skin Details; Scar 2,"Primary-research candidate only; duplicate file with same checksum also present as 4df34d2b-7dea-4afe-8dcc-05583430012f.MP4."
researchCandidate,6,06_Eye_Shape.mp4,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,OWNER_DOWNLOADS,24.93,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,61265737,84bdb04ca232a662a8add3ceef92f021ad6c96d241e536b12c0af968f3d92ca2,visually_confirmed_with_navigation_lead_in,5;12;22,Eye Shape; Hooded,"Primary-research candidate only; early sampled frames show Skin Details navigation before reaching Eye Shape."
researchCandidate,7,07_Eye_Color.mp4,352535,a1e6193d-625e-4880-8977-3a8c7670c336.MP4,OWNER_DOWNLOADS,29.33,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,73201886,c07fdab8d65b19859ae5985dc4fb06bb9919aecf597996ab74463bc6020acfd3,visually_confirmed,5;14;26,Eye Color; Light Brown,"Primary-research candidate only; manifest original lacked extension; actual located file inferred by duration and visible screen."
researchCandidate,8,08_Nose.mp4,352537,5bcd4869-531b-41bf-b643-5331f34cb3f3.MP4,OWNER_DOWNLOADS,32.45,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,80062286,301b6c7ba55233503e54296e55366cdd0468f0c23b5117be6ca5ff0363d5e5b7,visually_confirmed,5;16;29,Nose; Hooked,"Primary-research candidate only; manifest original lacked extension; actual located file inferred by duration and visible screen."
researchCandidate,9,09_Ear_Shape.mp4,352531,55b7d607-eefa-41a4-8635-1eedb5296ab0.MP4,OWNER_DOWNLOADS,30.21,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,69914730,e615e0919ebc50da7cdb1ec27ea302e28ac632b01728a88ca28ab0bb1f5902a1,visually_confirmed_with_navigation_lead_in,5;15;27,Ear Shape; Pointed,"Primary-research candidate only; earlier sampled frames show Nose navigation before reaching Ear Shape; manifest original lacked extension; actual located file inferred by duration and visible screen."
researchCandidateDuplicate,,duplicate_of_04_Skin_Tone,,7cafeb6e-0488-42e6-8d6d-5836f8e30daf.MP4,OWNER_DOWNLOADS,53.82,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,128477357,a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146,checksum_duplicate_not_used,,Skin Tone,"Exact checksum duplicate of 03_Appearance_Skin_Tone.MP4; preserve original file but do not treat as a unique evidence source."
researchCandidateDuplicate,,duplicate_of_05_Skin_Details,,4df34d2b-7dea-4afe-8dcc-05583430012f.MP4,OWNER_DOWNLOADS,31.72,MP4,H.264 1920x1080 approximately 59.94 fps,AAC stereo 48000 Hz,78206366,a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b,checksum_duplicate_not_used,,Skin Details,"Exact checksum duplicate of 04_Appearance_Skin_Details.MP4; preserve original file but do not treat as a unique evidence source."
