queue_id,candidate_id,game_id,category,suspected_native_label,review_status,production_status
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,college-football-27,Hairstyles,Short Curly,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,college-football-27,Hair colors,Light Brown,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,college-football-27,Facial hair,Mutton Chops,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,college-football-27,Facial-hair colors,Purple,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,college-football-27,Mouth Shape,Heavy,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,college-football-27,Jaw Shape,Square,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,college-football-27,Chin,Square,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_3,FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_3,ea-sports-fc-26,Skin Tone,Skin Tone 3,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_9,FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_9,ea-sports-fc-26,Skin Tone,Skin Tone 9,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_3,FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_3,ea-sports-fc-26,Complexion,Complexion 3,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
