stable_candidate_id,game_id,category,suspected_native_label,suspected_native_index,suspected_native_order,supporting_source_media_ids,supporting_timestamps,extraction_confidence,primary_review_status,second_verification_status,production_status,recapture_status,issues
CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,college-football-27,Hairstyles,Short Curly,1,1,GFM_MEDIA_CF27_60F68A5C1AF4,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,college-football-27,Hair colors,Light Brown,,,GFM_MEDIA_CF27_60F68A5C1AF4,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,college-football-27,Facial hair,Mutton Chops,,,GFM_MEDIA_CF27_60F68A5C1AF4,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,college-football-27,Facial-hair colors,Purple,,,GFM_MEDIA_CF27_60F68A5C1AF4,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,college-football-27,Mouth Shape,Heavy,7,7,GFM_MEDIA_CF27_BDD75F0CE953,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,college-football-27,Jaw Shape,Square,2,2,GFM_MEDIA_CF27_BDD75F0CE953,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,college-football-27,Chin,Square,2,2,GFM_MEDIA_CF27_BDD75F0CE953,,high,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,RECAPTURE_REQUIREMENTS_UNRESOLVED,
FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_3,ea-sports-fc-26,Skin Tone,Skin Tone 3,3,3,GFM_MEDIA_FC26_6AB6BFCA771C,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_9,ea-sports-fc-26,Skin Tone,Skin Tone 9,9,9,GFM_MEDIA_FC26_6AB6BFCA771C,5,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_3,ea-sports-fc-26,Complexion,Complexion 3,3,3,GFM_MEDIA_FC26_6AB6BFCA771C,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_6,ea-sports-fc-26,Complexion,Complexion 6,6,6,GFM_MEDIA_FC26_6AB6BFCA771C,10,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_9,ea-sports-fc-26,Complexion,Complexion 9,9,9,GFM_MEDIA_FC26_6AB6BFCA771C,10,probable,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_18,ea-sports-fc-26,Skin Surface,Skin Surface 18,18,18,GFM_MEDIA_FC26_6AB6BFCA771C,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_27,ea-sports-fc-26,Skin Surface,Skin Surface 27,27,27,GFM_MEDIA_FC26_6AB6BFCA771C,20,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_36,ea-sports-fc-26,Skin Surface,Skin Surface 36,36,36,GFM_MEDIA_FC26_6AB6BFCA771C,25,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_41,ea-sports-fc-26,Skin Surface,Skin Surface 41,41,41,GFM_MEDIA_FC26_6AB6BFCA771C,30,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_51,ea-sports-fc-26,Skin Surface,Skin Surface 51,51,51,GFM_MEDIA_FC26_6AB6BFCA771C,35,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
