auditID,relativePath,folder,filename,fileSizeBytes,modifiedAt,sha256,duration,durationSeconds,resolution,frameRate,videoCodec,audioCodec,creationMetadata,opensSuccessfully,fullDurationReadable,duplicateOf,duplicateStatus,nearDuplicatePossible,contactSheet,inspectionStatus,sourceVideoModified
MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,source-media/Fc26/player-creator,fc26-player-creator-part-01.mp4,583430951,2026-08-02T01:25:41.659Z,6ab6bfca771c2f5595f1a51c8b8fdc87ded9078c72bc6071c4303d8d2fc57fea,00:04:00.98,240.98,1920x1080,58.96,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-02T01:21:41.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/fc26_player_creator_part_01_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-002,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,source-media/Fc26/player-creator,fc26-player-creator-part-02.MP4,552340973,2026-08-02T01:25:53.000Z,0c758eb69716938f5bca7b4c0e7219d802a8fafa64287d0851ce94312911b531,00:03:55.69,235.69,1920x1080,58.96,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-02T01:25:53.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/fc26_player_creator_part_02_MP4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-003,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_47_00.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_47_00.mp4,367932572,2026-08-03T01:47:01.456Z,69b349af1c5a1079266f6e2a209f753e3f5a7feb8279b9590938efe3d7601d58,00:02:21.99,141.99,1920x1080,58.95,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:44:40.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_47_00_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-004,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_47_01.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_47_01.mp4,367932572,2026-08-03T01:47:01.456Z,69b349af1c5a1079266f6e2a209f753e3f5a7feb8279b9590938efe3d7601d58,00:02:21.99,141.99,1920x1080,58.95,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:44:40.000000Z,true,true,MEDIA-003,EXACT_DUPLICATE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_47_01_mp4_5s.jpg,EXACT_DUPLICATE_NO_NEW_COVERAGE,false
MEDIA-005,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_51_45.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_51_45.mp4,585421931,2026-08-03T01:51:46.447Z,50aa6c5f51a9cb2eacecc326c8c6d44668ed69aa1edcea2db63db44f2f8510ea,00:03:56.57,236.57,1920x1080,58.95,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:47:50.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_51_45_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-006,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_51_46.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_51_46.mp4,585421931,2026-08-03T01:51:46.447Z,50aa6c5f51a9cb2eacecc326c8c6d44668ed69aa1edcea2db63db44f2f8510ea,00:03:56.57,236.57,1920x1080,58.95,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:47:50.000000Z,true,true,MEDIA-005,EXACT_DUPLICATE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_51_46_mp4_5s.jpg,EXACT_DUPLICATE_NO_NEW_COVERAGE,false
MEDIA-007,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_27.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_27.mp4,455503515,2026-08-03T01:55:28.418Z,fc8cb39c42de6f189103da586b5675ac402a7536ad7957e468866c1890314c62,00:02:58.63,178.63,1920x1080,58.96,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:52:30.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_55_27_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-008,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_28.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_28.mp4,455503515,2026-08-03T01:55:28.418Z,fc8cb39c42de6f189103da586b5675ac402a7536ad7957e468866c1890314c62,00:02:58.63,178.63,1920x1080,58.96,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:52:30.000000Z,true,true,MEDIA-007,EXACT_DUPLICATE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_55_28_mp4_5s.jpg,EXACT_DUPLICATE_NO_NEW_COVERAGE,false
MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,474163234,2026-08-03T01:58:50.182Z,9fbab85d4c6631c12d09809130fc67b3dc516d01c5dab10ba555e9df0cbb3634,00:03:03.99,183.99,1920x1080,58.95,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:55:46.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_01_58_49_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-010,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_02_07.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-02_02_07.mp4,476670281,2026-08-03T02:02:07.826Z,70292b7f524138e90f64e2344b488283affe9ffdab1f2e044099f2d81b235562,00:03:11.24,191.24,1920x1080,58.94,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T01:58:56.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_02_02_07_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
MEDIA-011,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_04_25.mp4,source-media/NBA2k 2026,NBA 2K26 for Xbox Series X_S-2026_08_03-02_04_25.mp4,275774189,2026-08-03T02:04:25.320Z,2bd61c0cce76994c478dc3b44e7e3f1a6992e0ffd854b498b91698cefe2e473b,00:01:52.85,112.85,1920x1080,58.95,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),2026-08-03T02:02:33.000000Z,true,true,,UNIQUE,not_assessed_beyond_exact_hash_and_visible_progression,build-artifacts/direct-all-video-audit/contact-sheets/NBA_2K26_for_Xbox_Series_X_S_2026_08_03_02_04_25_mp4_5s.jpg,DIRECT_FULL_DURATION_CONTACT_SHEET_INSPECTED,false
