stableResearchCatalogID,category,parentMenuLabel,controlType,nativeOrder,nativeDisplayLabel,nativeOptionNumber,sourceVideo,sourceTimestampRange,evidenceID,evidenceFramePath,visibleDefaultStatus,selectorWrapObserved,totalCountSupported,geometryEffect,textureEffect,colorEffect,presentationOnlyEffect,orderConfidence,countConfidence,productionGeometricComparison,productionStatus,verificationStatus
CF27_XBOXUNKNOWN_RTG_SKINTONE_001,Skin Tone,Head & Skin,color_selector_numbered_grid,1,Skin Tone 01,1,phase0-video-004,45-46,phase0-frame-video-004-tl-019,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_001/CF27_XBOXUNKNOWN_RTG_SKINTONE_001_MENU_video-004_45p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_002,Skin Tone,Head & Skin,color_selector_numbered_grid,2,Skin Tone 02,2,phase0-video-004,47-47,phase0-frame-video-004-tl-020,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_002/CF27_XBOXUNKNOWN_RTG_SKINTONE_002_MENU_video-004_47p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_003,Skin Tone,Head & Skin,color_selector_numbered_grid,3,Skin Tone 03,3,phase0-video-004,48-49,phase0-frame-video-004-tl-021,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_003/CF27_XBOXUNKNOWN_RTG_SKINTONE_003_MENU_video-004_48p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_004,Skin Tone,Head & Skin,color_selector_numbered_grid,4,Skin Tone 04,4,phase0-video-004,12-13,phase0-frame-video-004-tl-003,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_004/CF27_XBOXUNKNOWN_RTG_SKINTONE_004_MENU_video-004_12p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_006,Skin Tone,Head & Skin,color_selector_numbered_grid,6,Skin Tone 06,6,phase0-video-004,29-30,phase0-frame-video-004-tl-011,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_005/CF27_XBOXUNKNOWN_RTG_SKINTONE_005_MENU_video-004_29p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_007,Skin Tone,Head & Skin,color_selector_numbered_grid,7,Skin Tone 07,7,phase0-video-004,27-28,phase0-frame-video-004-tl-010,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_007/CF27_XBOXUNKNOWN_RTG_SKINTONE_007_MENU_video-004_27p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_008,Skin Tone,Head & Skin,color_selector_numbered_grid,8,Skin Tone 08,8,phase0-video-004,25-26,phase0-frame-video-004-tl-009,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_006/CF27_XBOXUNKNOWN_RTG_SKINTONE_006_MENU_video-004_25p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_009,Skin Tone,Head & Skin,color_selector_numbered_grid,9,Skin Tone 09,9,phase0-video-004,8-11,phase0-frame-video-004-tl-002,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_008/CF27_XBOXUNKNOWN_RTG_SKINTONE_008_MENU_video-004_10p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_010,Skin Tone,Head & Skin,color_selector_numbered_grid,10,Skin Tone 10,10,phase0-video-004,41-42,phase0-frame-video-004-tl-017,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_010/CF27_XBOXUNKNOWN_RTG_SKINTONE_010_MENU_video-004_41p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_011,Skin Tone,Head & Skin,color_selector_numbered_grid,11,Skin Tone 11,11,phase0-video-004,50-51,phase0-frame-video-004-tl-022,data/phase-zero/derivative-frames/video-004-tl-022_04-skin-tone-mp4_50p5s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_012,Skin Tone,Head & Skin,color_selector_numbered_grid,12,Skin Tone 12,12,phase0-video-004,43-44,phase0-frame-video-004-tl-018,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_012/CF27_XBOXUNKNOWN_RTG_SKINTONE_012_MENU_video-004_43p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
