timeline_record_id,video_id,start_timestamp,end_timestamp,visible_menu_label,visible_option_label,confidence,extracted_frame_path
CF27_XBOX_SOURCE_2026_08_02_001-tl-001,CF27_XBOX_SOURCE_2026_08_02_001,0,4,Appearance menu / Head & Skin row,,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_001_appearance_menu_0p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-002,CF27_XBOX_SOURCE_2026_08_02_001,5,64,Head Template,Face values visible during traversal,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_002_head_template_5p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-003,CF27_XBOX_SOURCE_2026_08_02_001,65,119,Skin Tone,Skin Tone 20,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_003_skin_tone_82p0s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-004,CF27_XBOX_SOURCE_2026_08_02_001,120,144,Skin Details,Selected skin-detail labels visible in recording; representative frame only.,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_004_skin_details_125p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-005,CF27_XBOX_SOURCE_2026_08_02_001,145,159,Eye Shape,Selected eye-shape label visible in recording; representative frame only.,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_005_eye_shape_155p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-006,CF27_XBOX_SOURCE_2026_08_02_001,160,184,Eye Color,Selected eye-color labels visible in recording; representative frame only.,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_006_eye_color_170p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-007,CF27_XBOX_SOURCE_2026_08_02_001,185,199,Nose,Selected nose labels visible in recording; representative frame only.,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_007_nose_190p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-008,CF27_XBOX_SOURCE_2026_08_02_001,200,209,Ear Shape,Selected ear-shape label visible in recording; representative frame only.,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_008_ear_shape_205p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-009,CF27_XBOX_SOURCE_2026_08_02_001,210,219,Mouth Shape,Heavy,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_009_mouth_shape_215p5s.png
CF27_XBOX_SOURCE_2026_08_02_001-tl-010,CF27_XBOX_SOURCE_2026_08_02_001,220,229,Jaw Shape,Square,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_010_jaw_shape_225p5s.png
