package_id,target_id,target_label,target_kind,verifier_task,verifier_count,first_observed_value,final_observed_value,wrap_observed,native_order_preserved,selector_boundary_confirmed,dependency_observed,evidence_ids,notes
phase0-blind-second-verifier-package-20260714,count-head-templates,Head Templates,headTemplateCategory,Count every head template from the first available value to the final available value.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-hairstyles,Hairstyles,hairstyleCategory,Count every hairstyle option if the Hair menu exposes hairstyles.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-facial-hair,Facial Hair,facialHairCategory,"Count every facial-hair option, including None if present.",,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-facial-hair-colors,Facial-Hair Colors,facialHairColorCategory,Count every facial-hair color option if the game exposes this control.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-hair-colors,Hair Colors,hairColorCategory,Count every hair color option if the game exposes this control.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-skin-tone,Skin Tone,additionalCategory,Count Skin Tone values and confirm first/final boundaries.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-skin-details,Skin Details,additionalCategory,Count Skin Details values and confirm first/final boundaries.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-eye-shape,Eye Shape,additionalCategory,Count Eye Shape values and confirm first/final boundaries.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-eye-color,Eye Color,additionalCategory,Count Eye Color values and confirm first/final boundaries.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-nose,Nose,additionalCategory,Count Nose values and confirm first/final boundaries.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-ear-shape,Ear Shape,additionalCategory,Count Ear Shape values and confirm first/final boundaries.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-mouth-shape,Mouth Shape,additionalCategory,Confirm whether Mouth Shape exists; count it only if directly visible.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-jaw-shape,Jaw Shape,additionalCategory,Confirm whether Jaw Shape exists; count it only if directly visible.,,,,,,,,,
phase0-blind-second-verifier-package-20260714,count-chin,Chin,additionalCategory,Confirm whether Chin exists; count it only if directly visible.,,,,,,,,,
