package_id,menu_id,parent_menu_id,displayed_label_to_find,control_type_hint,verifier_seen,verifier_native_order,verifier_parent_label,verifier_child_rows_seen,boundary_confirmed,dependency_or_lock_seen,evidence_reference,notes
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-head-template,cf27-menu-appearance-head-skin,Head Template,numbered_option_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-skin-tone,cf27-menu-appearance-head-skin,Skin Tone,color_selector_numbered_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-skin-details,cf27-menu-appearance-head-skin,Skin Details,named_option_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-eye-shape,cf27-menu-appearance-head-skin,Eye Shape,named_option_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-eye-color,cf27-menu-appearance-head-skin,Eye Color,color_selector_named_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-nose,cf27-menu-appearance-head-skin,Nose,named_option_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-ear-shape,cf27-menu-appearance-head-skin,Ear Shape,named_option_grid,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-mouth-shape,cf27-menu-appearance-head-skin,Mouth Shape,unknown_selector,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-jaw-shape,cf27-menu-appearance-head-skin,Jaw Shape,unknown_selector,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-head-skin-chin,cf27-menu-appearance-head-skin,Chin,unknown_selector,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-appearance-head-skin,cf27-menu-player-appearance,Head & Skin,submenu,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-appearance-hair,cf27-menu-player-appearance,Hair,submenu,,,,,,,,
phase0-blind-second-verifier-package-20260714,cf27-menu-player-appearance,menu-cf27-create-player-player-tab,Appearance,top_level_appearance_category,,,,,,,,
phase0-blind-second-verifier-package-20260714,new-discovery-1,,Any extra appearance category visible,verifier records if seen,,,,,,,,
phase0-blind-second-verifier-package-20260714,new-discovery-2,,Any extra Head & Skin control visible,verifier records if seen,,,,,,,,
phase0-blind-second-verifier-package-20260714,new-discovery-3,,Any Hair submenu control visible,verifier records if seen,,,,,,,,
phase0-blind-second-verifier-package-20260714,new-discovery-4,,Any body/height/weight/physique control visible,verifier records if seen,,,,,,,,
