field,required,description
capture_session_id,yes,One of the GFM-CF27-S01 through GFM-CF27-S08 session IDs.
planned_filename,yes,Filename Wyatt intended to use from the capture plan.
original_filename,yes,Exact filename as it appears on disk after transfer.
portable_intake_path,yes,Repository-relative path under data/phase-zero/intake/pending/.
sha256,no,Generated by intake; leave blank before processing.
file_size_bytes,no,Generated by intake; leave blank before processing.
duration_seconds,no,Generated by intake for videos.
resolution,no,Generated by intake when available.
capture_date,no,Use YYYY-MM-DD when known from the recording session.
wyatt_notes,no,Short notes about anything unusual during capture.
privacy_review,yes,Confirm no private account/payment/serial details are visible before acceptance.
processing_status,no,Intake pipeline status.
review_status,no,Research review status after processing.
