categoryID,categoryLabel,recordCount,claimedTotal,claimedTotalStatus,categoryCompletionStatus,hasHardFailures,beginningBoundary,endingBoundary,twoCompleteCounts,nativeOrderContinuity,missingIndices,repeatedIndices,duplicateInternalIDs,continuityOverlaps,wrappingBehavior,countMatchesRecordTotal,evidenceForEveryClaimedOption,unprovenFinalOptionClaims
head-template,Head Template,26,,COUNT_UNKNOWN,INCOMPLETE,true,PASS,NOT_PROVEN,NOT_PROVEN,FAIL,FAIL,FAIL,PASS,PASS_WITH_NOTES,NOT_PROVEN,UNKNOWN,PASS,FAIL
skin-tone,Skin Tone,21,,COUNT_UNKNOWN,INCOMPLETE,true,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,FAIL,FAIL,FAIL,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,PASS,NOT_PROVEN
skin-details,Skin Details,10,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,PASS_WITH_NOTES,PASS,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,PASS,NOT_PROVEN
eye-shape,Eye Shape,5,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,PASS_WITH_NOTES,PASS,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,PASS,NOT_PROVEN
eye-color,Eye Color,7,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,PASS_WITH_NOTES,PASS,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,PASS,NOT_PROVEN
nose,Nose,7,,COUNT_UNKNOWN,INCOMPLETE,true,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,PASS_WITH_NOTES,PASS,FAIL,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,PASS,NOT_PROVEN
ear-shape,Ear Shape,4,,COUNT_UNKNOWN,INCOMPLETE,true,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,PASS_WITH_NOTES,PASS,FAIL,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,PASS,NOT_PROVEN
hairstyle,Hairstyles,0,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,UNKNOWN,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,UNKNOWN,NOT_PROVEN
hairColor,Hair Color,0,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,UNKNOWN,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,UNKNOWN,NOT_PROVEN
facialHair,Facial Hair,0,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,UNKNOWN,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,UNKNOWN,NOT_PROVEN
facialHairColor,Facial-Hair Color,0,,COUNT_UNKNOWN,INCOMPLETE,false,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,UNKNOWN,PASS,PASS,NOT_APPLICABLE,NOT_PROVEN,UNKNOWN,UNKNOWN,NOT_PROVEN
body-controls,Body Controls / Position Context,5,,COUNT_UNKNOWN,COMPLETE,false,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,NOT_APPLICABLE
