restoreID,sourceVideoID,originalFilename,portableReference,exactReason,nextAction,productionStatus
CF27-MASTER-RESTORE-001,,01_Environment_and_Creation_Path.MP4,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-002,,02_Appearance_Menu_Part_1.mp4.MOV,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-003,,02_Appearance_Menu_Part_2.mp4.MOV,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-004,,03_Appearance_Skin_Tone.MP4,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-005,,04_Appearance_Skin_Details.MP4,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-006,,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-007,,352535,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-008,,352537,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-009,,352531,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-010,,4df34d2b-7dea-4afe-8dcc-05583430012f.MP4,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
CF27-MASTER-RESTORE-011,,7cafeb6e-0488-42e6-8d6d-5836f8e30daf.MP4,,Portable OWNER_DOWNLOADS master reference is not locally resolvable; restoration is required before recapture is considered.,Re-add the original master through the approved intake workflow.,NOT_PRODUCTION_DATA
