candidateID,game,platform,gameVersion,patch,mode,creationPath,category,nativeOptionLabel,nativeOptionIndex,nativeOrderClaim,primaryReviewStatus,verificationStatus,evidenceSupportState,evidenceSupportRationale,sourceVideoIDs,sourceVideoPaths,exactUsefulTimestamps,frontViewStatus,secondaryViewStatus,menuLabelVisibility,nativeOrderVisibility,boundaryVisibility,duplicateFlag,orderUnresolvedFlag,dependencyFlag,environmentVersionLimitation,framingLimitation,lightingLimitation,obstructionLimitation,evidenceConfidence,futureRecommendationConfidenceCap,userConfirmationRequired,eligibleForVerifierQueue,eligibleForProductionPromotion,eligibleForRecommendation,blockingReasons,exactVerifierAction,optionalFutureMediaImprovement,notes
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Body-related appearance controls,BLUE CHIP,,,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Body-related appearance controls is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-001,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4; 01_Environment_and_Creation_Path.MP4,18-23,NOT_REQUIRED,NOT_REQUIRED,VISIBLE,VISIBLE,NOT_APPLICABLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Body records are context observations, not production appearance recommendations.; Dependency effects on head, hair, facial hair, body, and camera framing are not tested.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Body-related appearance controls,CONTRIBUTOR,,,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Body-related appearance controls is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-001,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4; 01_Environment_and_Creation_Path.MP4,18-23,NOT_REQUIRED,NOT_REQUIRED,VISIBLE,VISIBLE,NOT_APPLICABLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Body records are context observations, not production appearance recommendations.; Dependency effects on head, hair, facial hair, body, and camera framing are not tested.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Body-related appearance controls,ELITE,,,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Body-related appearance controls is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-001,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4; 01_Environment_and_Creation_Path.MP4,18-23,NOT_REQUIRED,NOT_REQUIRED,VISIBLE,VISIBLE,NOT_APPLICABLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Body records are context observations, not production appearance recommendations.; Dependency effects on head, hair, facial hair, body, and camera framing are not tested.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Body-related appearance controls,UNDERDOG,,,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Body-related appearance controls is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-001,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4; 01_Environment_and_Creation_Path.MP4,18-23,NOT_REQUIRED,NOT_REQUIRED,VISIBLE,VISIBLE,NOT_APPLICABLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Body records are context observations, not production appearance recommendations.; Dependency effects on head, hair, facial hair, body, and camera framing are not tested.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_POSITION_QB,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Body-related appearance controls,QB,,,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Body-related appearance controls is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-001,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4; 01_Environment_and_Creation_Path.MP4,24-29,NOT_REQUIRED,NOT_REQUIRED,VISIBLE,VISIBLE,NOT_APPLICABLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Body records are context observations, not production appearance recommendations.; Dependency effects on head, hair, facial hair, body, and camera framing are not tested.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Chin,Square,2,2,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",CF27_XBOX_SOURCE_2026_08_02_001,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_011_chin_235p0s.png; EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,230-240.24,MISSING_FROM_CURRENT_DERIVATIVES,MISSING:LEFT_PROFILE|RIGHT_PROFILE,VISIBLE,VISIBLE,PARTIAL,false,false,false,true,true,true,false,high,0.72,false,true,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,"Independently verify native label/index/order, source evidence, available views, and whether limitations require VERIFIED_WITH_NOTES or a blocking disagreement.",Optional post-launch media may improve angles/framing but is not required by default.,"Directly selected native label is readable in the cited August 2026 frame.; Supplemental August 2026 intake observation is primary research only.; The selected native value is directly readable in the cited frame, but complete selector boundaries and second verification remain unresolved.; No supplemental record is eligible for production recommendations.; Supported with notes for verifier review only; not production or recommendation eligible.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Ear Shape,Attached Lobe,1,1,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Ear Shape is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-009,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_MENU_EVIDENCE_video-009_18p00s.png; 352531,18-20,NOT_REQUIRED,MISSING:LEFT_PROFILE|RIGHT_PROFILE,VISIBLE,VISIBLE,NOT_VISIBLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-ear-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Ear Shape selector boundaries, default, wrap behavior, and total count are not fully proven.; Current evidence is primary research only and not standardized for production comparison.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Ear Shape,None,2,2,DUPLICATE_REVIEW_REQUIRED,NOT_VERIFIED,LIMITED_EVIDENCE,Duplicate or near-duplicate concern remains unresolved; the record is preserved for explicit verifier disposition but excluded from the initial supported subset.,phase0-video-009,data/phase-zero/derivative-frames/video-009-tl-002_09-ear-shape-mp4_16p5s.png; data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_BEST_AVAILABLE_SIDE_OR_THREE_QUARTER_video-009_21p00s.png; 352531,16-17,NOT_REQUIRED,MISSING:LEFT_PROFILE|RIGHT_PROFILE,VISIBLE,VISIBLE,NOT_VISIBLE,true,false,false,true,true,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; DUPLICATE_REVIEW_REQUIRED; ISSUE:issue-phase0-appearance-control-ear-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-duplicate-observations; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE; NOT_IN_SUPPORTED_SUBSET,"Review duplicate relationship and decide whether this is a distinct native option, duplicate observation, or mismatch.","Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Ear Shape selector boundaries, default, wrap behavior, and total count are not fully proven.; Current evidence is primary research only and not standardized for production comparison.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Duplicate or near-duplicate concern is preserved and must not be resolved silently.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Ear Shape,Round Free Lobe,3,3,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Ear Shape is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-009,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002_MENU_EVIDENCE_video-009_23p00s.png; 352531,23-25,NOT_REQUIRED,MISSING:LEFT_PROFILE|RIGHT_PROFILE,VISIBLE,VISIBLE,NOT_VISIBLE,false,false,false,true,true,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-ear-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Ear Shape selector boundaries, default, wrap behavior, and total count are not fully proven.; Current evidence is primary research only and not standardized for production comparison.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,EA SPORTS College Football 27,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,Ear Shape,Pointed,4,4,PRIMARY_APPROVED_WITH_NOTES,NOT_VERIFIED,LIMITED_EVIDENCE,Ear Shape is visible as research evidence but is not strong enough for the initial recommendation subset from the locked baseline.,phase0-video-009,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004_MENU_EVIDENCE_video-009_26p00s.png; 352531,26-30.21,NOT_REQUIRED,MISSING:LEFT_PROFILE|RIGHT_PROFILE,VISIBLE,VISIBLE,NOT_VISIBLE,false,false,false,true,false,true,false,medium,0.25,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-ear-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE; NOT_IN_SUPPORTED_SUBSET,Review only if needed for a later expansion; do not use as an initial recommendation candidate.,"Optional post-launch media or user feedback may improve this record, but additional Wyatt recording is not a default initial-launch blocker.","Ear Shape selector boundaries, default, wrap behavior, and total count are not fully proven.; Current evidence is primary research only and not standardized for production comparison.; Second-person verification has not occurred.; Limited evidence record remains internal/review-only and is excluded from the initial supported subset.; Game version, patch, or environment metadata remains incomplete for production.; No Codex-created human verification decision is recorded."
