detailedControlID,nativeControlLabel,nativeDisplayLabel,nativeOptionNumber,nativeOrder,valueKind,productionStatus,verificationStatus,evidenceFramePath,sourceTimestampRange,recommendationSuitability
detailed-control-skin-tone,Skin Tone,Skin Tone 01,1,1,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_001/CF27_XBOXUNKNOWN_RTG_SKINTONE_001_MENU_video-004_45p50s.png,45-46,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 02,2,2,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_002/CF27_XBOXUNKNOWN_RTG_SKINTONE_002_MENU_video-004_47p00s.png,47-47,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 03,3,3,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_003/CF27_XBOXUNKNOWN_RTG_SKINTONE_003_MENU_video-004_48p50s.png,48-49,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 04,4,4,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_004/CF27_XBOXUNKNOWN_RTG_SKINTONE_004_MENU_video-004_12p50s.png,12-13,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 06,6,6,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_005/CF27_XBOXUNKNOWN_RTG_SKINTONE_005_MENU_video-004_29p50s.png,29-30,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 07,7,7,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_007/CF27_XBOXUNKNOWN_RTG_SKINTONE_007_MENU_video-004_27p50s.png,27-28,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 08,8,8,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_006/CF27_XBOXUNKNOWN_RTG_SKINTONE_006_MENU_video-004_25p50s.png,25-26,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 09,9,9,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_008/CF27_XBOXUNKNOWN_RTG_SKINTONE_008_MENU_video-004_10p50s.png,8-11,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 10,10,10,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_010/CF27_XBOXUNKNOWN_RTG_SKINTONE_010_MENU_video-004_41p50s.png,41-42,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 11,11,11,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/video-004-tl-022_04-skin-tone-mp4_50p5s.png,50-51,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
