stableResearchCatalogID,nativeOptionNumber,nativeLabel,nativeOrder,environmentID,visibleGameLabelOrIndex,primarySourceVideo,primaryTimestampRange,evidenceID,evidenceFramePath,evidenceFrameTimestamp,menuNumberVisible,transitionAnimationFinished,qualityStatus,visualEvidenceQuality,countConfidence,orderingConfidence,visualComparisonSuitability,recaptureStatus,suitableMenuPresence,suitableOrdering,suitableCounting,suitablePreliminaryVisualAnnotation,suitableProductionGeometricComparison,productionStatus,verificationStatus
CF27_XBOXUNKNOWN_RTG_HEAD_001,1,Face 1,1,env-cf27-phase0-video-001-rtg-custom-qb,Face 1,phase0-video-002,10-19,phase0-frame-video-002-tl-004,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_001/CF27_XBOXUNKNOWN_RTG_HEAD_001_MENU_video-002_11p68s.png,11.68,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_002,2,Face 2,2,env-cf27-phase0-video-001-rtg-custom-qb,Face 2,phase0-video-002,20-28,phase0-frame-video-002-tl-005,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_002/CF27_XBOXUNKNOWN_RTG_HEAD_002_MENU_video-002_21p52s.png,21.52,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_003,3,Face 3,3,env-cf27-phase0-video-001-rtg-custom-qb,Face 3,phase0-video-002,29-38,phase0-frame-video-002-tl-006,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_003/CF27_XBOXUNKNOWN_RTG_HEAD_003_MENU_video-002_30p68s.png,30.68,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_004,4,Face 4,4,env-cf27-phase0-video-001-rtg-custom-qb,Face 4,phase0-video-002,39-48,phase0-frame-video-002-tl-007,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_004/CF27_XBOXUNKNOWN_RTG_HEAD_004_MENU_video-002_40p68s.png,40.68,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_005,5,Face 5,5,env-cf27-phase0-video-001-rtg-custom-qb,Face 5,phase0-video-002,69-74,phase0-frame-video-002-tl-011,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_005/CF27_XBOXUNKNOWN_RTG_HEAD_005_MENU_video-002_70p04s.png,70.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_006,6,Face 6,6,env-cf27-phase0-video-001-rtg-custom-qb,Face 6,phase0-video-002,60-68,phase0-frame-video-002-tl-010,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_006/CF27_XBOXUNKNOWN_RTG_HEAD_006_MENU_video-002_61p52s.png,61.52,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_007,7,Face 7,7,env-cf27-phase0-video-001-rtg-custom-qb,Face 7,phase0-video-002,54-59,phase0-frame-video-002-tl-009,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_007/CF27_XBOXUNKNOWN_RTG_HEAD_007_MENU_video-002_55p04s.png,55.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_008,8,Face 8,8,env-cf27-phase0-video-001-rtg-custom-qb,Face 8,phase0-video-002,49-53,phase0-frame-video-002-tl-008,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_008/CF27_XBOXUNKNOWN_RTG_HEAD_008_MENU_video-002_49p88s.png,49.88,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_009,9,Face 9,9,env-cf27-phase0-video-001-rtg-custom-qb,Face 9,phase0-video-002,75-79,phase0-frame-video-002-tl-012,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_009/CF27_XBOXUNKNOWN_RTG_HEAD_009_MENU_video-002_75p88s.png,75.88,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_010,10,Face 10,10,env-cf27-phase0-video-001-rtg-custom-qb,Face 10,phase0-video-002,80-88,phase0-frame-video-002-tl-013,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_010/CF27_XBOXUNKNOWN_RTG_HEAD_010_MENU_video-002_81p52s.png,81.52,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_011,11,Face 11,11,env-cf27-phase0-video-001-rtg-custom-qb,Face 11,phase0-video-002,89-94,phase0-frame-video-002-tl-014,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_011/CF27_XBOXUNKNOWN_RTG_HEAD_011_MENU_video-002_90p04s.png,90.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Face 12,12,env-cf27-phase0-video-001-rtg-custom-qb,Face 12,phase0-video-002,95-100,phase0-frame-video-002-tl-015,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_012/CF27_XBOXUNKNOWN_RTG_HEAD_012_MENU_video-002_96p04s.png,96.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_013,13,Face 13,13,env-cf27-phase0-video-001-rtg-custom-qb,Face 13,phase0-video-003,21-29,phase0-frame-video-003-tl-004,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_013/CF27_XBOXUNKNOWN_RTG_HEAD_013_MENU_video-003_28p04s.png,28.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_014,14,Face 14,14,env-cf27-phase0-video-001-rtg-custom-qb,Face 14,phase0-video-003,14-20,phase0-frame-video-003-tl-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_015/CF27_XBOXUNKNOWN_RTG_HEAD_015_MENU_video-003_14p04s.png,14.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,MEDIUM_NATIVE_NUMBER_VISIBLE_FRAME_ID_MISMATCH_REVIEW_REQUIRED,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Face 16,16,env-cf27-phase0-video-001-rtg-custom-qb,Face 16,phase0-video-003,5-13,phase0-frame-video-003-tl-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_016/CF27_XBOXUNKNOWN_RTG_HEAD_016_MENU_video-003_7p20s.png,7.2,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
