record_type,stable_menu_id,parent_menu_id,display_label,native_label,native_order,record_kind,control_type,capture_status,gap_flags,inspected,complete,visible_value_count,visible_minimum,visible_maximum,default_value,wrap_behavior,production_eligible,evidence_count,verification_status
menu,cf27-menu-head-skin-head-template,cf27-menu-appearance-head-skin,Head Template,Head Template,1,numbered option selector,numbered_option_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE|VISIBLE_INDEX_GAPS,true,false,26,1,31,,UNKNOWN,false,28,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-skin-tone,cf27-menu-appearance-head-skin,Skin Tone,Skin Tone,2,color selector,color_selector_numbered_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE|VISIBLE_INDEX_GAPS,true,false,21,1,29,,UNKNOWN,false,22,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-skin-details,cf27-menu-appearance-head-skin,Skin Details,Skin Details,3,named option selector,named_option_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE,true,false,10,,,,UNKNOWN,false,10,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-eye-shape,cf27-menu-appearance-head-skin,Eye Shape,Eye Shape,4,named option selector,named_option_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE,true,false,5,,,,UNKNOWN,false,5,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-eye-color,cf27-menu-appearance-head-skin,Eye Color,Eye Color,5,color selector,color_selector_named_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE,true,false,7,,,,UNKNOWN,false,7,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-nose,cf27-menu-appearance-head-skin,Nose,Nose,6,named option selector,named_option_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE,true,false,7,,,,POSSIBLE_WRAP_OBSERVED_UNVERIFIED,false,8,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-ear-shape,cf27-menu-appearance-head-skin,Ear Shape,Ear Shape,7,named option selector,named_option_grid,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_INCOMPLETE,true,false,4,,,,UNKNOWN,false,5,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-mouth-shape,cf27-menu-appearance-head-skin,Mouth Shape,Mouth Shape,8,submenu/selector visible only,unknown_selector,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_NOT_INSPECTED,false,false,,,,,UNKNOWN,false,1,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-jaw-shape,cf27-menu-appearance-head-skin,Jaw Shape,Jaw Shape,9,submenu/selector visible only,unknown_selector,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_NOT_INSPECTED,false,false,,,,,UNKNOWN,false,1,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-head-skin-chin,cf27-menu-appearance-head-skin,Chin,Chin,10,submenu/selector visible only,unknown_selector,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_NOT_INSPECTED,false,false,,,,,UNKNOWN,false,1,OBSERVED_PENDING_VERIFICATION
menu,cf27-menu-appearance-head-skin,cf27-menu-player-appearance,Head & Skin,Head & Skin,1,submenu,submenu,PARTIAL,PARTIAL|COUNT_UNKNOWN|RECAPTURE_REQUIRED|FIRST_VALUE_UNKNOWN|FINAL_VALUE_UNKNOWN|ORDER_NOT_INSPECTED,false,false,,,,,UNKNOWN,false,1,OBSERVED_PENDING_VERIFICATION
