candidateID,category,nativeOrder,nativeVisibleLabelOrIndex,primaryReviewStatus,sourceVideoID,sourceVideoFilename,sourceTimestampRange,evidenceIDs,evidenceResolved,selectedValueVisible,categoryVisible,firstSelectorOptionKnown,finalSelectorOptionKnown,selectorWrapKnown,duplicated,ambiguous,environmentResolved,publicationBlockers
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,,BLUE CHIP,PRIMARY_APPROVED_WITH_NOTES,phase0-video-001,01_Environment_and_Creation_Path.mp4,18-23,phase0-source-phase0-video-001,true,true,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,,CONTRIBUTOR,PRIMARY_APPROVED_WITH_NOTES,phase0-video-001,01_Environment_and_Creation_Path.mp4,18-23,phase0-source-phase0-video-001,true,true,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,,ELITE,PRIMARY_APPROVED_WITH_NOTES,phase0-video-001,01_Environment_and_Creation_Path.mp4,18-23,phase0-source-phase0-video-001,true,true,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,,UNDERDOG,PRIMARY_APPROVED_WITH_NOTES,phase0-video-001,01_Environment_and_Creation_Path.mp4,18-23,phase0-source-phase0-video-001,true,true,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,,QB,PRIMARY_APPROVED_WITH_NOTES,phase0-video-001,01_Environment_and_Creation_Path.mp4,24-29,phase0-source-phase0-video-001,true,true,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,2,Square,PRIMARY_APPROVED_WITH_NOTES,CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,230-240.24,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,true,true,true,true,true,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,1,Attached Lobe,PRIMARY_APPROVED_WITH_NOTES,phase0-video-009,09_Ear_Shape.mp4,18-20,phase0-frame-video-009-tl-003,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,2,None,DUPLICATE_REVIEW_REQUIRED,phase0-video-009,09_Ear_Shape.mp4,16-17,phase0-frame-video-009-tl-002; phase0-frame-video-009-tl-004,true,true,true,false,false,false,true,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; DUPLICATE_REVIEW_REQUIRED
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,3,Round Free Lobe,PRIMARY_APPROVED_WITH_NOTES,phase0-video-009,09_Ear_Shape.mp4,23-25,phase0-frame-video-009-tl-005,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,4,Pointed,PRIMARY_APPROVED_WITH_NOTES,phase0-video-009,09_Ear_Shape.mp4,26-30.21,phase0-frame-video-009-tl-006,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
