candidateID,category,sourceVideoID,sourceVideoFilename,originalFilename,sourceTimestampRange,evidenceIDs,evidenceFiles,sourceVideoResolved,timelineResolved,evidenceResolved
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,phase0-video-001,01_Environment_and_Creation_Path.mp4,01_Environment_and_Creation_Path.MP4,18-23,phase0-source-phase0-video-001,,true,true,true
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,phase0-video-001,01_Environment_and_Creation_Path.mp4,01_Environment_and_Creation_Path.MP4,18-23,phase0-source-phase0-video-001,,true,true,true
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,phase0-video-001,01_Environment_and_Creation_Path.mp4,01_Environment_and_Creation_Path.MP4,18-23,phase0-source-phase0-video-001,,true,true,true
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,phase0-video-001,01_Environment_and_Creation_Path.mp4,01_Environment_and_Creation_Path.MP4,18-23,phase0-source-phase0-video-001,,true,true,true
CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,phase0-video-001,01_Environment_and_Creation_Path.mp4,01_Environment_and_Creation_Path.MP4,24-29,phase0-source-phase0-video-001,,true,true,true
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,phase0-video-009,09_Ear_Shape.mp4,352531,18-20,phase0-frame-video-009-tl-003,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_MENU_EVIDENCE_video-009_18p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,phase0-video-009,09_Ear_Shape.mp4,352531,16-17,phase0-frame-video-009-tl-002; phase0-frame-video-009-tl-004,data/phase-zero/derivative-frames/video-009-tl-002_09-ear-shape-mp4_16p5s.png; data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_BEST_AVAILABLE_SIDE_OR_THREE_QUARTER_video-009_21p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,phase0-video-009,09_Ear_Shape.mp4,352531,23-25,phase0-frame-video-009-tl-005,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002_MENU_EVIDENCE_video-009_23p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,phase0-video-009,09_Ear_Shape.mp4,352531,26-30.21,phase0-frame-video-009-tl-006,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004_MENU_EVIDENCE_video-009_26p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,phase0-video-007,07_Eye_Color.mp4,352535,12-12,phase0-frame-video-007-tl-002,data/phase-zero/derivative-frames/video-007-tl-002_07-eye-color-mp4_12s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,phase0-video-007,07_Eye_Color.mp4,352535,13-15,phase0-frame-video-007-tl-003,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001_MENU_THUMBNAIL_EVIDENCE_video-007_13p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,phase0-video-007,07_Eye_Color.mp4,352535,16-17,phase0-frame-video-007-tl-004,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_003/CF27_XBOXUNKNOWN_RTG_EYECOLOR_003_MENU_THUMBNAIL_EVIDENCE_video-007_17p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,phase0-video-007,07_Eye_Color.mp4,352535,18-20,phase0-frame-video-007-tl-005,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_004/CF27_XBOXUNKNOWN_RTG_EYECOLOR_004_MENU_THUMBNAIL_EVIDENCE_video-007_19p00s.png,true,true,true
CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,phase0-video-007,07_Eye_Color.mp4,352535,25-29.33,phase0-frame-video-007-tl-008,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_005/CF27_XBOXUNKNOWN_RTG_EYECOLOR_005_MENU_THUMBNAIL_EVIDENCE_video-007_28p00s.png,true,true,true
