queue_record_id,stable_candidate_id,category,native_option_label_or_index,native_order,platform,game_version,patch,mode,creation_path,environment_id,primary_review_status,evidence_completeness_status,evidence_ids,source_videos,source_timestamps,required_views,available_views,missing_views,framing_consistency_result,lighting_consistency_result,canonical_settings_consistency_result,duplicate_or_near_duplicate_flag,dependency_flag,version_or_environment_gap,recommended_verifier_action,recommended_recapture_action,current_production_eligibility,blocking_reasons,second_verifier_status,catalog_manager_disposition
cf27-production-verification-cf27-xboxunknown-rtg-journeytype-blue-chip,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,BLUE CHIP,,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-source-phase0-video-001,phase0-video-001,18-23,MENU,MENU,,NOT_APPLICABLE,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-journeytype-contributor,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,CONTRIBUTOR,,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-source-phase0-video-001,phase0-video-001,18-23,MENU,MENU,,NOT_APPLICABLE,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-journeytype-elite,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,ELITE,,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-source-phase0-video-001,phase0-video-001,18-23,MENU,MENU,,NOT_APPLICABLE,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-journeytype-underdog,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,UNDERDOG,,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-source-phase0-video-001,phase0-video-001,18-23,MENU,MENU,,NOT_APPLICABLE,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-position-qb,CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,QB,,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-source-phase0-video-001,phase0-video-001,24-29,MENU,MENU,,NOT_APPLICABLE,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-chin-square,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,Square,2,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,CF27_XBOX_SOURCE_2026_08_02_001,230-240.24,MENU;FRONT;LEFT_PROFILE;RIGHT_PROFILE,MENU,FRONT;LEFT_PROFILE;RIGHT_PROFILE,FAIL,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;CATEGORY_INCOMPLETE;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved;MISSING_REQUIRED_VIEWS,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-earshape-001,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,Attached Lobe,1,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-frame-video-009-tl-003,phase0-video-009,18-20,MENU;LEFT_PROFILE;RIGHT_PROFILE,MENU,LEFT_PROFILE;RIGHT_PROFILE,PASS,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-appearance-control-ear-shape-recapture: Record Ear Shape from the first available value through the final available value, pausing on each selected value long enough for label and character state review. Include beginning boundary, final boundary, wrap/no-wrap evidence, default state evidence, and dependency notes. | issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;CATEGORY_INCOMPLETE;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-appearance-control-ear-shape-recapture;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved;MISSING_REQUIRED_VIEWS;CATEGORY_COUNT_ORDER_INCOMPLETE,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-earshape-002,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,None,2,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,DUPLICATE_REVIEW_REQUIRED,EVIDENCE_LINKED,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,phase0-video-009,16-17,MENU;LEFT_PROFILE;RIGHT_PROFILE,MENU,LEFT_PROFILE;RIGHT_PROFILE,FAIL,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,true,false,true,REVIEW_DUPLICATE_OR_CONTINUITY_AFTER_INDEPENDENT_COUNTS,"issue-phase0-appearance-control-ear-shape-recapture: Record Ear Shape from the first available value through the final available value, pausing on each selected value long enough for label and character state review. Include beginning boundary, final boundary, wrap/no-wrap evidence, default state evidence, and dependency notes. | issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-duplicate-observations: Do not merge duplicate-looking options. Preserve native order and selected value evidence. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;CATEGORY_INCOMPLETE;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;DUPLICATE_REVIEW_REQUIRED;ISSUE:issue-phase0-appearance-control-ear-shape-recapture;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-duplicate-observations;ISSUE:issue-phase0-primary-review-environment-unresolved;MISSING_REQUIRED_VIEWS;CATEGORY_COUNT_ORDER_INCOMPLETE,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-earshape-003,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,Round Free Lobe,3,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-frame-video-009-tl-005,phase0-video-009,23-25,MENU;LEFT_PROFILE;RIGHT_PROFILE,MENU,LEFT_PROFILE;RIGHT_PROFILE,FAIL,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-appearance-control-ear-shape-recapture: Record Ear Shape from the first available value through the final available value, pausing on each selected value long enough for label and character state review. Include beginning boundary, final boundary, wrap/no-wrap evidence, default state evidence, and dependency notes. | issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;CATEGORY_INCOMPLETE;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-appearance-control-ear-shape-recapture;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved;MISSING_REQUIRED_VIEWS;CATEGORY_COUNT_ORDER_INCOMPLETE,NOT_VERIFIED,NOT_REVIEWED
cf27-production-verification-cf27-xboxunknown-rtg-earshape-004,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,Pointed,4,Xbox,,,Road to Glory,Main interface > Road to Glory > Road to Glory Setup > Journey type cards > Choose Your Position > QB > Create Player > Player > Appearance > Head & Skin visible,env-cf27-phase0-video-001-rtg-custom-qb,PRIMARY_APPROVED_WITH_NOTES,EVIDENCE_LINKED,phase0-frame-video-009-tl-006,phase0-video-009,26-30.21,MENU;LEFT_PROFILE;RIGHT_PROFILE,MENU,LEFT_PROFILE;RIGHT_PROFILE,PASS,UNRESOLVED_NOT_CAPTURE_STANDARDIZED,FAIL,false,false,true,INDEPENDENTLY_REVIEW_EVIDENCE_AFTER_BLIND_COUNTS,"issue-phase0-appearance-control-ear-shape-recapture: Record Ear Shape from the first available value through the final available value, pausing on each selected value long enough for label and character state review. Include beginning boundary, final boundary, wrap/no-wrap evidence, default state evidence, and dependency notes. | issue-phase0-primary-review-category-incomplete: Follow the Wyatt recapture instructions generated for this primary-review checkpoint. | issue-phase0-primary-review-environment-unresolved: Capture only non-secret game/console environment screens. Do not include account credentials, payment screens, serial numbers, or private profile details.",NOT_ELIGIBLE,NOT_SECOND_VERIFIED;NO_CATALOG_MANAGER_APPROVAL;NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE;ENVIRONMENT_UNRESOLVED;CATEGORY_INCOMPLETE;RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON;ISSUE:issue-phase0-appearance-control-ear-shape-recapture;ISSUE:issue-phase0-primary-review-category-incomplete;ISSUE:issue-phase0-primary-review-environment-unresolved;MISSING_REQUIRED_VIEWS;CATEGORY_COUNT_ORDER_INCOMPLETE,NOT_VERIFIED,NOT_REVIEWED
