evidence_id,timeline_record_id,video_id,relative_path,master_or_derivative,file_role,sha256,size_bytes,mime_type,source_video,timestamp,verification_state,notes
phase0-frame-video-001-tl-011,phase0-video-001-tl-011,phase0-video-001,data/phase-zero/derivative-frames/video-001-tl-011_01-environment-and-creation-path-mp4_68p5s.png,derivative,phase_zero_timeline_derivative,effbdde32d74253c48f547aa52ca074d67679a27f52e7e3024c58b507f89c0c4,917472,image/png,01_Environment_and_Creation_Path.mp4,68.5,OBSERVED_PENDING_VERIFICATION,Phase 0 timeline derivative extracted at full source resolution without cropping or appearance alteration.
phase0-frame-video-001-tl-012,phase0-video-001-tl-012,phase0-video-001,data/phase-zero/derivative-frames/video-001-tl-012_01-environment-and-creation-path-mp4_72p29s.png,derivative,phase_zero_timeline_derivative,3253930366134c1a8c2963f00e4e41f5adaec7444c7e4f0293aba393a1ade742,1127200,image/png,01_Environment_and_Creation_Path.mp4,72.29,OBSERVED_PENDING_VERIFICATION,Phase 0 timeline derivative extracted at full source resolution without cropping or appearance alteration.
phase0-frame-video-002-tl-004,phase0-video-002-tl-004,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_001/CF27_XBOXUNKNOWN_RTG_HEAD_001_MENU_video-002_11p68s.png,derivative,existing_research_derivative,38e83406c2b0023cca13cba4fb814153ce4846711eac3a4536e4d485de93852a,1471867,image/png,02_Head_Templates_Faces_01-12.mov,11.68,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-005,phase0-video-002-tl-005,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_002/CF27_XBOXUNKNOWN_RTG_HEAD_002_MENU_video-002_21p52s.png,derivative,existing_research_derivative,a9438049c2b2abf131c2f770f61d72c9c19d31620ff70bdc7323edfe3c99a1a6,1491074,image/png,02_Head_Templates_Faces_01-12.mov,21.52,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-006,phase0-video-002-tl-006,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_003/CF27_XBOXUNKNOWN_RTG_HEAD_003_MENU_video-002_30p68s.png,derivative,existing_research_derivative,45823ee8a4bb5930240db9c031f97cd3c33134570819d068fda803b43e510fad,1529881,image/png,02_Head_Templates_Faces_01-12.mov,30.68,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-007,phase0-video-002-tl-007,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_004/CF27_XBOXUNKNOWN_RTG_HEAD_004_MENU_video-002_40p68s.png,derivative,existing_research_derivative,d58fb77bf66947917eb648066342c3e7d134875ec83fa23ea37d43ed92388734,1270507,image/png,02_Head_Templates_Faces_01-12.mov,40.68,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-008,phase0-video-002-tl-008,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_008/CF27_XBOXUNKNOWN_RTG_HEAD_008_MENU_video-002_49p88s.png,derivative,existing_research_derivative,000e18dbdab4a50f3258a83fb50a91c6822e995a7678f67929f2612c1f8b8063,1378341,image/png,02_Head_Templates_Faces_01-12.mov,49.88,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-009,phase0-video-002-tl-009,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_007/CF27_XBOXUNKNOWN_RTG_HEAD_007_MENU_video-002_55p04s.png,derivative,existing_research_derivative,08e8a58adf2f1a4ba649c1e9129e0ab323337206cb3ea8d10c565b19ef88a77c,1476291,image/png,02_Head_Templates_Faces_01-12.mov,55.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-010,phase0-video-002-tl-010,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_006/CF27_XBOXUNKNOWN_RTG_HEAD_006_MENU_video-002_61p52s.png,derivative,existing_research_derivative,51ecb2c14f047623367ff0a811466f18a28642a5982270c499e46d5daafa993c,1542992,image/png,02_Head_Templates_Faces_01-12.mov,61.52,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-011,phase0-video-002-tl-011,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_005/CF27_XBOXUNKNOWN_RTG_HEAD_005_MENU_video-002_70p04s.png,derivative,existing_research_derivative,9aa74ef8045ce742b99c794f0bd6ce9140905373f721fe156aef32c3db00f8d4,1221602,image/png,02_Head_Templates_Faces_01-12.mov,70.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-012,phase0-video-002-tl-012,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_009/CF27_XBOXUNKNOWN_RTG_HEAD_009_MENU_video-002_75p88s.png,derivative,existing_research_derivative,f886afc7fb7713db49a7cdb581ea0239dec1284730119671037f806e20cd9453,1478025,image/png,02_Head_Templates_Faces_01-12.mov,75.88,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
