issueID,kind,severity,status,title,owner,affectedRecordIDs,affectedEvidenceFileIDs,createdAt,updatedAt
issue-phase0-appearance-control-ear-shape-recapture,recaptureRequired,blocking,open,Complete Ear Shape selector evidence,wyatt-skaggs,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001|CF27_XBOXUNKNOWN_RTG_EARSHAPE_002|CF27_XBOXUNKNOWN_RTG_EARSHAPE_003|CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,,2026-07-14T01:15:00-04:00,2026-07-14T01:15:00-04:00
issue-phase0-appearance-control-eye-color-recapture,recaptureRequired,blocking,open,Complete Eye Color selector evidence,wyatt-skaggs,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001|CF27_XBOXUNKNOWN_RTG_EYECOLOR_002|CF27_XBOXUNKNOWN_RTG_EYECOLOR_003|CF27_XBOXUNKNOWN_RTG_EYECOLOR_004|CF27_XBOXUNKNOWN_RTG_EYECOLOR_005|CF27_XBOXUNKNOWN_RTG_EYECOLOR_006|CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,,2026-07-14T01:15:00-04:00,2026-07-14T01:15:00-04:00
issue-phase0-appearance-control-eye-shape-recapture,recaptureRequired,blocking,open,Complete Eye Shape selector evidence,wyatt-skaggs,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001|CF27_XBOXUNKNOWN_RTG_EYESHAPE_002|CF27_XBOXUNKNOWN_RTG_EYESHAPE_003|CF27_XBOXUNKNOWN_RTG_EYESHAPE_004|CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,,2026-07-14T01:15:00-04:00,2026-07-14T01:15:00-04:00
issue-phase0-appearance-control-nose-recapture,recaptureRequired,blocking,open,Complete Nose selector evidence,wyatt-skaggs,CF27_XBOXUNKNOWN_RTG_NOSE_001|CF27_XBOXUNKNOWN_RTG_NOSE_002|CF27_XBOXUNKNOWN_RTG_NOSE_003|CF27_XBOXUNKNOWN_RTG_NOSE_004|CF27_XBOXUNKNOWN_RTG_NOSE_005|CF27_XBOXUNKNOWN_RTG_NOSE_006|CF27_XBOXUNKNOWN_RTG_NOSE_007,,2026-07-14T01:15:00-04:00,2026-07-14T01:15:00-04:00
issue-phase0-appearance-control-skin-details-recapture,recaptureRequired,blocking,open,Complete Skin Details selector evidence,wyatt-skaggs,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009|CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,,2026-07-14T01:15:00-04:00,2026-07-14T01:15:00-04:00
issue-phase0-appearance-control-skin-tone-recapture,recaptureRequired,blocking,open,Complete Skin Tone selector evidence,wyatt-skaggs,CF27_XBOXUNKNOWN_RTG_SKINTONE_001|CF27_XBOXUNKNOWN_RTG_SKINTONE_002|CF27_XBOXUNKNOWN_RTG_SKINTONE_003|CF27_XBOXUNKNOWN_RTG_SKINTONE_004|CF27_XBOXUNKNOWN_RTG_SKINTONE_006|CF27_XBOXUNKNOWN_RTG_SKINTONE_007|CF27_XBOXUNKNOWN_RTG_SKINTONE_008|CF27_XBOXUNKNOWN_RTG_SKINTONE_009|CF27_XBOXUNKNOWN_RTG_SKINTONE_010|CF27_XBOXUNKNOWN_RTG_SKINTONE_011|CF27_XBOXUNKNOWN_RTG_SKINTONE_012|CF27_XBOXUNKNOWN_RTG_SKINTONE_013|CF27_XBOXUNKNOWN_RTG_SKINTONE_017|CF27_XBOXUNKNOWN_RTG_SKINTONE_018|CF27_XBOXUNKNOWN_RTG_SKINTONE_019|CF27_XBOXUNKNOWN_RTG_SKINTONE_020|CF27_XBOXUNKNOWN_RTG_SKINTONE_021|CF27_XBOXUNKNOWN_RTG_SKINTONE_022|CF27_XBOXUNKNOWN_RTG_SKINTONE_023|CF27_XBOXUNKNOWN_RTG_SKINTONE_024|CF27_XBOXUNKNOWN_RTG_SKINTONE_029,,2026-07-14T01:15:00-04:00,2026-07-14T01:15:00-04:00
issue-phase0-env-appearance-editable-later,dependencyUncertainty,blocking,open,Missing environment/path evidence: appearanceEditableLater,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-archetype,missingEvidence,blocking,open,Missing environment/path evidence: archetype,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-body-type,missingEvidence,blocking,open,Missing environment/path evidence: bodyType,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-console-model,missingEvidence,blocking,open,Missing environment/path evidence: consoleModel,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-console-osversion,missingEvidence,blocking,open,Missing environment/path evidence: consoleOSVersion,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-copy-type,missingEvidence,blocking,open,Missing environment/path evidence: copyType,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-display-model,missingEvidence,blocking,open,Missing environment/path evidence: displayModel,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-ea-account-requirement,missingEvidence,blocking,open,Missing environment/path evidence: eaAccountRequirement,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-edition,missingEvidence,blocking,open,Missing environment/path evidence: edition,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-entitlement-status,missingEvidence,blocking,open,Missing environment/path evidence: entitlementStatus,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-game-version,missingEvidence,blocking,open,Missing environment/path evidence: gameVersion,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-hair-visible-not-opened,missingEvidence,warning,open,Hair menu visible but not opened in environment video,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-handedness,missingEvidence,blocking,open,Missing environment/path evidence: handedness,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-hdr-state,missingEvidence,blocking,open,Missing environment/path evidence: hdrState,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-height,missingEvidence,blocking,open,Missing environment/path evidence: height,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-online-state,missingEvidence,blocking,open,Missing environment/path evidence: onlineState,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-output-resolution,missingEvidence,blocking,open,Missing environment/path evidence: outputResolution,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-patch-version,missingEvidence,blocking,open,Missing environment/path evidence: patchVersion,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-player-base-selection,missingEvidence,blocking,open,Missing environment/path evidence: playerBaseSelection,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-storefront-region,missingEvidence,blocking,open,Missing environment/path evidence: storefrontRegion,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-env-weight,missingEvidence,blocking,open,Missing environment/path evidence: weight,wyatt-skaggs,env-cf27-phase0-video-001-rtg-custom-qb|creation-path-cf27-rtg-custom-qb-create-player-appearance-video-001,phase0-source-phase0-video-001,2026-07-13T22:20:00-04:00,2026-07-13T22:20:00-04:00
issue-phase0-menu-appearance,missingEvidence,blocking,open,Incomplete appearance menu capture: Appearance,wyatt-skaggs,cf27-menu-player-appearance,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-chin,missingEvidence,blocking,open,Incomplete appearance menu capture: Chin,wyatt-skaggs,cf27-menu-head-skin-chin,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-ear-shape,missingEvidence,warning,open,Incomplete appearance menu capture: Ear Shape,wyatt-skaggs,cf27-menu-head-skin-ear-shape,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-eye-color,missingEvidence,warning,open,Incomplete appearance menu capture: Eye Color,wyatt-skaggs,cf27-menu-head-skin-eye-color,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-eye-shape,missingEvidence,warning,open,Incomplete appearance menu capture: Eye Shape,wyatt-skaggs,cf27-menu-head-skin-eye-shape,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-hair,missingEvidence,blocking,open,Incomplete appearance menu capture: Hair,wyatt-skaggs,cf27-menu-appearance-hair,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-head-skin,missingEvidence,blocking,open,Incomplete appearance menu capture: Head & Skin,wyatt-skaggs,cf27-menu-appearance-head-skin,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-head-template,missingEvidence,warning,open,Incomplete appearance menu capture: Head Template,wyatt-skaggs,cf27-menu-head-skin-head-template,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-jaw-shape,missingEvidence,blocking,open,Incomplete appearance menu capture: Jaw Shape,wyatt-skaggs,cf27-menu-head-skin-jaw-shape,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-mouth-shape,missingEvidence,blocking,open,Incomplete appearance menu capture: Mouth Shape,wyatt-skaggs,cf27-menu-head-skin-mouth-shape,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-nose,missingEvidence,warning,open,Incomplete appearance menu capture: Nose,wyatt-skaggs,cf27-menu-head-skin-nose,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-skin-details,missingEvidence,warning,open,Incomplete appearance menu capture: Skin Details,wyatt-skaggs,cf27-menu-head-skin-skin-details,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-menu-skin-tone,missingEvidence,warning,open,Incomplete appearance menu capture: Skin Tone,wyatt-skaggs,cf27-menu-head-skin-skin-tone,,2026-07-14T00:00:00-04:00,2026-07-14T00:00:00-04:00
issue-phase0-wyatt-next-capture-plan,recaptureRequired,info,open,Wyatt appearance-menu recording script is ready for execution,wyatt-skaggs,GFM-CAP-001|GFM-CAP-002|GFM-CAP-003|GFM-CAP-004|GFM-CAP-005|GFM-CAP-006|GFM-CAP-007|GFM-CAP-008|GFM-CAP-009|GFM-CAP-010,,2026-07-14T03:30:00-04:00,2026-07-14T04:15:00-04:00
