package_id,phase,worksheet_row,target_stable_id,menu_area,displayed_label_to_find,verifier_observed_label,verifier_native_order,evidence_reference,status,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,1,cf27-menu-head-skin-head-template,,Head Template,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,2,cf27-menu-head-skin-skin-tone,,Skin Tone,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,3,cf27-menu-head-skin-skin-details,,Skin Details,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,4,cf27-menu-head-skin-eye-shape,,Eye Shape,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,5,cf27-menu-head-skin-eye-color,,Eye Color,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,6,cf27-menu-head-skin-nose,,Nose,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,7,cf27-menu-head-skin-ear-shape,,Ear Shape,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,8,cf27-menu-head-skin-mouth-shape,,Mouth Shape,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,9,cf27-menu-head-skin-jaw-shape,,Jaw Shape,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,10,cf27-menu-head-skin-chin,,Chin,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,11,cf27-menu-appearance-head-skin,,Head & Skin,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,12,cf27-menu-appearance-hair,,Hair,,,,NOT_VERIFIED,Record only what the verifier independently sees.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,13,cf27-menu-player-appearance,,Appearance,,,,NOT_VERIFIED,Record only what the verifier independently sees.
