package_id,phase,target_id,target_label,verifier_order_sequence,repeated_or_skipped_values,beginning_boundary_seen,ending_boundary_seen,wrap_seen,evidence_reference,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-head-template,Head Template,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-skin-tone,Skin Tone,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-skin-details,Skin Details,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-eye-shape,Eye Shape,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-eye-color,Eye Color,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-nose,Nose,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-ear-shape,Ear Shape,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-mouth-shape,Mouth Shape,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-jaw-shape,Jaw Shape,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-chin,Chin,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-appearance-head-skin,Head & Skin,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-appearance-hair,Hair,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-player-appearance,Appearance,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-ear-shape,Ear Shape,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-eye-color,Eye Color,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-eye-shape,Eye Shape,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-nose,Nose,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-skin-details,Skin Details,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-skin-tone,Skin Tone,,,,,,,Write the native order observed by the verifier before opening post-count worksheets.
