sampleID,category,candidateID,evidenceIDs,sourceTimestampRange,selectionHash,selectedRankWithinCategory,categoryEligibleCount,categorySampleCount,requiredAction
secondary-angle-body-related-appearance-controls-001,Body-related appearance controls,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,phase0-source-phase0-video-001,18-23,0492bab82941df830482dbfed6bffe54261d5dd275352302b2e03a7d6f060205,1,5,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-body-related-appearance-controls-002,Body-related appearance controls,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,phase0-source-phase0-video-001,18-23,2f56cb9028d8fa32f1b5055d460c27c0b05f7e2d68d18fb25d55a057dd3bcfb5,2,5,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-chin-001,Chin,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,230-240.24,86c9108116bf934991140f5c636888486a66be02e79fd96af66976a0ed88331b,1,1,1,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-ear-shape-001,Ear Shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,phase0-frame-video-009-tl-005,23-25,384e88f4895842911144dee8c3fb3b5de3e563c351caf2712c9ed6b92fd13496,1,3,1,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-eye-color-001,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,phase0-frame-video-007-tl-007,23-24,009a20c9e35af2b98537021e5f4397bd3dce56ba4b745b0bad6c628a081d2f5c,1,7,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-eye-color-002,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,phase0-frame-video-007-tl-006,21-22,4a6d03a8856d697d5fa3f0ea1e5ce4564bbb0c60be981331c9155434b77cb7fe,2,7,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-eye-shape-001,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,phase0-frame-video-006-tl-002,14-14,08bb86236763e1d013f18965adc409391fcb2e10ef44008a1adb882c97a320b7,1,5,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-eye-shape-002,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,phase0-frame-video-006-tl-003,15-16,0e8251b2ac4f3ce217d801eecb9abd3bf78dd8b23ec13586ba3f6b6e6bb674b0,2,5,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-hairstyles-001,Hairstyles,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-002,5-99,98176632f6536718f15fed58399c53d89c74e47af2f65e073c93063f5cc0ab78,1,1,1,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-heads-001,Heads,CF27_XBOXUNKNOWN_RTG_HEAD_018,phase0-frame-video-003-tl-006,40-49,024e491732ffc7689b82e9be44837497a104985ec4d7b41a12d6afec8626be28,1,24,6,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-heads-002,Heads,CF27_XBOXUNKNOWN_RTG_HEAD_027,phase0-frame-video-003-tl-011,90-99,03de80d53eda4a4549353f7cb2fcb79ea17188122940aebbcbaefa517792ac44,2,24,6,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-heads-003,Heads,CF27_XBOXUNKNOWN_RTG_HEAD_008,phase0-frame-video-002-tl-008,49-53,0d64c22cd739261c6ac9c46c73271115e4377f3b56ac8cc3e6f643f34a105f2d,3,24,6,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-heads-004,Heads,CF27_XBOXUNKNOWN_RTG_HEAD_022,phase0-frame-video-003-tl-009,70-79,1d03452525d89d795aea19cf1e696299e5505edd6c551a2c6603c7ea939324de,4,24,6,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-heads-005,Heads,CF27_XBOXUNKNOWN_RTG_HEAD_024,phase0-frame-video-003-tl-008,60-69,1e0d2418a532f24e78b4a601b032b8da9050fac0249a2fab0157157fbb8bbb45,5,24,6,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-heads-006,Heads,CF27_XBOXUNKNOWN_RTG_HEAD_023,phase0-frame-video-003-tl-007,50-59,28a70ea8014fb347360e505feadad7d13f19b6d1f2f41f3fb2bc2509415af30f,6,24,6,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-jaw-shape-001,Jaw Shape,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-010,220-229,f4abe351cd66e99987b7b043d0dfac1a3bb1e4aa84e04eb47a660b2e193b4a45,1,1,1,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
