assignment_id,verifier_id,target_stable_id,category,verification_scope,verifier_native_order,verifier_native_label,verifier_count,evidence_exists,front_view_exists,secondary_angle_sample_included,native_order_status,record_fields_status,evidence_files_status,front_view_status,secondary_angle_status,dependency_status,exception_status,final_disposition,discrepancy_type,resolution_action,resolution_evidence_ids,notes
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-head-template,Head Template,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-skin-tone,Skin Tone,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-skin-details,Skin Details,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-eye-shape,Eye Shape,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-eye-color,Eye Color,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-nose,Nose,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-ear-shape,Ear Shape,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-mouth-shape,Mouth Shape,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-jaw-shape,Jaw Shape,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-chin,Chin,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-appearance-head-skin,Head & Skin,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
