candidateID,category,independentObservation,candidateIdentityConfirmed,nativeLabelConfirmed,nativeIndexConfirmed,nativeOrderConfirmed,evidenceFilesResolve,frontViewConfirmed,secondaryAngleReviewed,menuCountConfirmed,duplicateRelationshipConfirmed,environmentCompatible,decisionStatus,discrepancyType,requiredNotes,recommendedResolution,resolutionEvidenceReference,decisionTimestamp,productionEligibilityState,recommendationEligibilityState
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_013,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_014,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_017,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_018,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
