inventoryId,manifestSequence,originalFilename,discoveredFilename,canonicalFilename,sourceLocation.portableRelativeEvidencePath,sha256,fileSizeBytes,mediaContainer,videoCodec,audioCodec,durationSeconds,dimensions.width,dimensions.height,frameRate,fileOpenStatus,manifestMatch.status,exactDuplicate,exactDuplicateOf,likelyDuplicateOf,expectedContent,observedContent,conditionAssessment,suitability.menuEvidence,suitability.countEvidence,suitability.orderingEvidence,suitability.visualComparison,suitability.productionQualityCatalogImagery,productionUseStatus
CF27_XBOX_SOURCE_2026_08_02_001,,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,573576743,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),240.24,1920,1080,58.96,opens,new_august_2026_owner_recording_not_in_relabeled_manifest,false,,,"New College Football 27 Head & Skin source recording covering Head Template, Skin Tone, Skin Details, Eye Shape, Eye Color, Nose, Ear Shape, Mouth Shape, Jaw Shape, and Chin.","Create Player > Player appearance menus; direct title/footer confirms EA SPORTS College Football 27. Includes Head & Skin tab traversal and partial selected values for skin, eye, nose, ear, mouth, jaw, and chin controls.",opens_successfully_new_owner_recording_partial_catalog_scope,true,true,true,true,false,NOT_PRODUCTION_DATA_RESEARCH_ONLY
CF27_XBOX_SOURCE_2026_08_02_002,,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,548140709,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),235.35,1920,1080,58.96,opens,new_august_2026_owner_recording_not_in_relabeled_manifest,false,,,"New College Football 27 Hair source recording covering Hair Style, Hair Color, Facial Hair Style, and Facial Hair Color.","Create Player > Player > Hair tabs are directly visible. Selected native labels are readable for Short Curly, Light Brown, Mutton Chops, and Purple in extracted full-screen frames.",opens_successfully_new_owner_recording_partial_catalog_scope,true,true,true,true,false,NOT_PRODUCTION_DATA_RESEARCH_ONLY
CF27_XBOX_SOURCE_2026_08_02_003,,EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,90a29684f972dff7f41c33fb6457ee545a65c94292647ff9d91be1f1bc168586,357653157,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),163.8,1920,1080,58.96,opens,new_august_2026_owner_recording_not_in_relabeled_manifest,false,,,New College Football 27 body/style context recording.,"Create Player > Player > Styles screen with QB Throw Style and body/context style rows. This is context/dependency evidence, not facial appearance production evidence.",opens_successfully_new_owner_recording_partial_catalog_scope,true,false,false,true,false,NOT_PRODUCTION_DATA_RESEARCH_ONLY
phase0-video-001,1,01_Environment_and_Creation_Path.MP4,01_Environment_and_Creation_Path.MP4,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,6f42d3ef2572810fc09ac5138970dee5f325c539925f084a130d3fdcf7c2a0b2,156142794,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),73.57,1920,1080,58.96,opens,matched_by_original_filename,false,,,Environment and Road to Glory creation path,Environment and Road to Glory creation path,appears_complete_for_manifest_scope,true,false,false,false,false,not_production_data
phase0-video-002,2,02_Appearance_Menu_Part_1.mp4.MOV,02_Appearance_Menu_Part_1.mp4.MOV,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53,254684699,QuickTime/MOV,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),108.8,1920,1080,58.95,opens,matched_by_original_filename,false,,,Head Template captures Face 1 through Face 12,Head Template captures; manifest states Face 1 through Face 12,partially_accepted_research_evidence,true,true,true,limited,false,not_production_data
phase0-video-003,3,02_Appearance_Menu_Part_2.mp4.MOV,02_Appearance_Menu_Part_2.mp4.MOV,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,c348b96b1414927fca5ab12f8a65cc7668a6fdb22a2622c99e11a984d819a302,302595103,QuickTime/MOV,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),133.02,1920,1080,58.94,opens,matched_by_original_filename,false,,,Head Template captures Face 12 through Face 29,Head Template captures; manifest states Face 12 through Face 29,partially_accepted_research_evidence,true,true,true,limited,false,not_production_data
phase0-video-004,4,03_Appearance_Skin_Tone.MP4,03_Appearance_Skin_Tone.MP4,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146,128477357,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),53.82,1920,1080,58.97,opens,matched_by_original_filename,false,,,Skin Tone menu and options,Skin Tone menu and options,appears_complete_for_manifest_scope,true,true,true,limited,false,not_production_data
phase0-video-005,5,04_Appearance_Skin_Details.MP4,04_Appearance_Skin_Details.MP4,05_Skin_Details.mp4,OWNER_DOWNLOADS/04_Appearance_Skin_Details.MP4,a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b,78206366,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),31.72,1920,1080,58.9,opens,matched_by_original_filename,false,,,Skin Details menu and options,Skin Details menu and options,appears_complete_for_manifest_scope,true,true,true,limited,false,not_production_data
phase0-video-006,6,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,06_Eye_Shape.mp4,OWNER_DOWNLOADS/45926e39-7553-43b1-803a-6ddc787c63dd.MP4,84bdb04ca232a662a8add3ceef92f021ad6c96d241e536b12c0af968f3d92ca2,61265737,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),24.93,1920,1080,58.89,opens,matched_by_original_filename,false,,,Eye Shape menu and options,Eye Shape menu and options,partially_accepted_research_evidence,true,true,true,limited,false,not_production_data
phase0-video-007,7,352535,a1e6193d-625e-4880-8977-3a8c7670c336.MP4,07_Eye_Color.mp4,OWNER_DOWNLOADS/a1e6193d-625e-4880-8977-3a8c7670c336.MP4,c07fdab8d65b19859ae5985dc4fb06bb9919aecf597996ab74463bc6020acfd3,73201886,MP4,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),29.33,1920,1080,58.98,opens,matched_by_existing_inventory_or_duration,false,,,Eye Color menu and options,Eye Color menu and options,appears_complete_for_manifest_scope,true,true,true,limited,false,not_production_data
