video_id,original_filename,canonical_filename,source_video_checksum,start_timestamp,end_timestamp,event_type,parent_menu,visible_menu_label,visible_option_label,visible_option_index,native_order,observed_action,confidence,transition_active,transition_contamination,blur_present,obstruction_present,model_fully_loaded,menu_cursor_hides_relevant_information,canonical_settings_changed,usable_for_count,usable_for_order,usable_for_visual_analysis,extracted_frame_path,notes
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,0,4,menu_transition,Create Player > Player,Appearance menu / Head & Skin row,,,,timeline_observation,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_001_appearance_menu_0p5s.png,Appearance menu visible before Head & Skin traversal.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,5,64,option_change,Create Player > Player > Appearance > Head & Skin,Head Template,Face values visible during traversal,,,selected_option_observed_or_traversed,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_002_head_template_5p5s.png,Head Template selector is traversed; new clip reinforces existing head/menu evidence but does not independently resolve complete count or duplicate review.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,65,119,option_change,Create Player > Player > Appearance > Head & Skin,Skin Tone,Skin Tone 20,,,selected_option_observed_or_traversed,HIGH,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,true,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_003_skin_tone_82p0s.png,Skin Tone selector is directly visible; selected Skin Tone 20 frame is useful as supplemental evidence only because prior category completeness still requires boundary verification.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,120,144,option_change,Create Player > Player > Appearance > Head & Skin,Skin Details,Selected skin-detail labels visible in recording; representative frame only.,,,selected_option_observed_or_traversed,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_004_skin_details_125p5s.png,Skin Details traversal is present but this ingest does not replace the existing category catalog without per-label review.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,145,159,option_change,Create Player > Player > Appearance > Head & Skin,Eye Shape,Selected eye-shape label visible in recording; representative frame only.,,,selected_option_observed_or_traversed,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_005_eye_shape_155p5s.png,Eye Shape traversal is present but boundaries and every selected value still require normal category review.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,160,184,option_change,Create Player > Player > Appearance > Head & Skin,Eye Color,Selected eye-color labels visible in recording; representative frame only.,,,selected_option_observed_or_traversed,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_006_eye_color_170p5s.png,Eye Color traversal is present. This clip supplements but does not replace existing category evidence review.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,185,199,option_change,Create Player > Player > Appearance > Head & Skin,Nose,Selected nose labels visible in recording; representative frame only.,,,selected_option_observed_or_traversed,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_007_nose_190p5s.png,Nose traversal is present but duplicate/order concerns remain a later review task.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,200,209,option_change,Create Player > Player > Appearance > Head & Skin,Ear Shape,Selected ear-shape label visible in recording; representative frame only.,,,selected_option_observed_or_traversed,MEDIUM,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,false,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_008_ear_shape_205p5s.png,Ear Shape appears briefly; frame is useful for menu/category traceability but does not prove both ears or full category completion.
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,210,219,option_change,Create Player > Player > Appearance > Head & Skin,Mouth Shape,Heavy,,,selected_option_observed_or_traversed,HIGH,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,true,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_009_mouth_shape_215p5s.png,"Selected native Mouth Shape label Heavy is directly readable; grid appears fully visible, but production still needs second verification."
CF27_XBOX_SOURCE_2026_08_02_001,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,220,229,option_change,Create Player > Player > Appearance > Head & Skin,Jaw Shape,Square,,,selected_option_observed_or_traversed,HIGH,false,NO,false,false,VISIBLE_PREVIEW_LOADED_FOR_EXTRACTED_FRAME,NO,YES_SETTING_CHANGES_OBSERVED_ACROSS_TRAVERSAL,false,true,true,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_010_jaw_shape_225p5s.png,"Selected native Jaw Shape label Square is directly readable; grid appears fully visible, but production still needs second verification."
