packageLabel,captureEventID,sourceFilename,beginningTimestamp,endingTimestamp,category,nativeOption,catalogCandidate,action,rotationOrMenuSelectionEvent,evidenceGenerated,issueDetected,retakeStatus,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-001,01_Environment_and_Creation_Path.mp4,0,7,Navigation,,,navigation,none,evidence-video-001-source-master,,not_recorded,Main hub/navigation state; Road to Glory is visible in the left navigation. Not catalog option evidence.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-002,01_Environment_and_Creation_Path.mp4,8,11,Navigation,,,loading,none,evidence-video-001-source-master,"{""code"":""characterLoading"",""severity"":""warning"",""message"":""Character or menu loading is visible during this timestamp range.""}",not_recorded,Road to Glory splash/loading transition.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-003,01_Environment_and_Creation_Path.mp4,12,17,Navigation,,,navigation,none,evidence-video-001-source-master,,not_recorded,Road to Glory setup/navigation screens; exact small labels require a later frame-level pass before use as creation-path evidence.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-004,01_Environment_and_Creation_Path.mp4,18,23,Navigation,,,contextObservation,none,evidence-video-001-source-master,"{""code"":""contextLabelsNotCatalogOptions"",""severity"":""warning"",""message"":""Visible setup cards are creation-flow context only and are not appearance catalog options.""}",not_recorded,Card labels are visible in the creation-flow UI. They are not College Football 27 appearance catalog records.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-005,01_Environment_and_Creation_Path.mp4,24,29,Navigation,QB,,navigation,none,evidence-video-001-source-master,,not_recorded,"QB appears on the setup screen; this is creation-path evidence, not appearance option evidence. No catalog candidate was created by this capture-log task."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-006,01_Environment_and_Creation_Path.mp4,30,32,Navigation,,,loading,none,evidence-video-001-source-master,"{""code"":""characterLoading"",""severity"":""warning"",""message"":""Character or menu loading is visible during this timestamp range.""}",not_recorded,Stadium/football transition before player-creation appearance screens.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-007,01_Environment_and_Creation_Path.mp4,33,37,Navigation,,,navigation,none,evidence-video-001-source-master,,not_recorded,Created-player appearance area becomes visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-008,01_Environment_and_Creation_Path.mp4,38,45,Navigation,,,navigation,none,evidence-video-001-source-master,,not_recorded,Menu navigation continues; small labels are not indexed as appearance options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-009,01_Environment_and_Creation_Path.mp4,46,57,Navigation,,,rotationCapture,rotation,evidence-video-001-source-master,"{""code"":""motionBlur"",""severity"":""warning"",""message"":""Motion blur is observed in this timestamp range.""}",not_recorded,Player preview rotates/moves; useful for creation-path context only.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-010,01_Environment_and_Creation_Path.mp4,58,66,Navigation,,,navigation,none,evidence-video-001-source-master,,not_recorded,Stable menu/player preview after rotation.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-011,01_Environment_and_Creation_Path.mp4,67,70,Navigation,,,menuExit,none,evidence-video-001-source-master,"{""code"":""menuExit"",""severity"":""warning"",""message"":""A menu exit or exit modal is observed.""}",not_recorded,Leave/exit confirmation modal appears.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-001-tl-012,01_Environment_and_Creation_Path.mp4,71,73.57,Navigation,,,navigation,none,evidence-video-001-source-master,"{""code"":""notificationOverlay"",""severity"":""warning"",""message"":""A notification overlay is visible and may limit visual evidence.""}",not_recorded,Returns to player creation/menu state; small bottom notification overlay appears near the end.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-001,02_Head_Templates_Faces_01-12.mov,0,5,Navigation,,,navigation,none,evidence-video-002-source-master,,not_recorded,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-002,02_Head_Templates_Faces_01-12.mov,6,7,Navigation,,,navigation,none,evidence-video-002-source-master,,not_recorded,Navigation into head/skin area before Head Template grid.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-003,02_Head_Templates_Faces_01-12.mov,8,9,Head Template,,,loading,none,evidence-video-002-source-master,"{""code"":""characterLoading"",""severity"":""warning"",""message"":""Character or menu loading is visible during this timestamp range.""}; {""code"":""notificationOverlay"",""severity"":""warning"",""message"":""A notification overlay is visible and may limit visual evidence.""}",not_recorded,Transition into Head Template. EA/music notification overlay visible around this entry.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-004,02_Head_Templates_Faces_01-12.mov,10,19,Head Template,Face 1,CF27_XBOXUNKNOWN_RTG_HEAD_001,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_001-front; evidence-frame-cf27_xboxunknown_rtg_head_001-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_001-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_001-menu; evidence-frame-cf27_xboxunknown_rtg_head_001-rear; evidence-frame-cf27_xboxunknown_rtg_head_001-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_001-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-005,02_Head_Templates_Faces_01-12.mov,20,28,Head Template,Face 2,CF27_XBOXUNKNOWN_RTG_HEAD_002,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_002-front; evidence-frame-cf27_xboxunknown_rtg_head_002-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_002-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_002-menu; evidence-frame-cf27_xboxunknown_rtg_head_002-rear; evidence-frame-cf27_xboxunknown_rtg_head_002-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_002-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-006,02_Head_Templates_Faces_01-12.mov,29,38,Head Template,Face 3,CF27_XBOXUNKNOWN_RTG_HEAD_003,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_003-front; evidence-frame-cf27_xboxunknown_rtg_head_003-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_003-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_003-menu; evidence-frame-cf27_xboxunknown_rtg_head_003-rear; evidence-frame-cf27_xboxunknown_rtg_head_003-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_003-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-007,02_Head_Templates_Faces_01-12.mov,39,48,Head Template,Face 4,CF27_XBOXUNKNOWN_RTG_HEAD_004,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_004-front; evidence-frame-cf27_xboxunknown_rtg_head_004-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_004-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_004-menu; evidence-frame-cf27_xboxunknown_rtg_head_004-rear; evidence-frame-cf27_xboxunknown_rtg_head_004-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_004-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
