packageLabel,evidenceID,relativePath,masterOrDerivative,fileRole,sha256,sizeBytes,mimeType,sourceVideo,timestamp,environmentCandidate,menuID,catalogID,view,captureDate,researcher,verificationState,supersessionState,validationState,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_001-best_available_side_or_three_quarter,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_BEST_AVAILABLE_SIDE_OR_THREE_QUARTER_video-009_21p00s.png,derivative,standardAngleDerivativeFrame,e831c08b54e3657778d90050c2bedcd7b5ab6d55ae2fd03f754eab1c28ba9eb3,1260554,image/png,video-009,21,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,BEST_AVAILABLE_SIDE_OR_THREE_QUARTER,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_001-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_MENU_EVIDENCE_video-009_18p00s.png,derivative,menuEvidenceFrame,af1dd337e9c5264fd2e61b4eac408af18d0a0352fe225cc929fe3f7dac3119d5,1320044,image/png,video-009,18,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,MENU,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_002-best_available_side_or_three_quarter,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002_BEST_AVAILABLE_SIDE_OR_THREE_QUARTER_video-009_23p00s.png,derivative,standardAngleDerivativeFrame,a62301cf735877f80affbca74f9f8c107b390b8dd4fc2ef5c3b7fd5b53521b97,1212126,image/png,video-009,23,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,BEST_AVAILABLE_SIDE_OR_THREE_QUARTER,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_002-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002_MENU_EVIDENCE_video-009_23p00s.png,derivative,menuEvidenceFrame,a62301cf735877f80affbca74f9f8c107b390b8dd4fc2ef5c3b7fd5b53521b97,1212126,image/png,video-009,23,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,MENU,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_003-best_available_side_or_three_quarter,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_003/CF27_XBOXUNKNOWN_RTG_EARSHAPE_003_BEST_AVAILABLE_SIDE_OR_THREE_QUARTER_video-009_24p00s.png,derivative,standardAngleDerivativeFrame,5ae3f7bbd1c71ceb4be49c5009b72db056a37b5e564a45745895e83cb223683b,1199159,image/png,video-009,24,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,BEST_AVAILABLE_SIDE_OR_THREE_QUARTER,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_003-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_003/CF27_XBOXUNKNOWN_RTG_EARSHAPE_003_MENU_EVIDENCE_video-009_24p00s.png,derivative,menuEvidenceFrame,5ae3f7bbd1c71ceb4be49c5009b72db056a37b5e564a45745895e83cb223683b,1199159,image/png,video-009,24,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,MENU,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_004-best_available_side_or_three_quarter,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004_BEST_AVAILABLE_SIDE_OR_THREE_QUARTER_video-009_26p00s.png,derivative,standardAngleDerivativeFrame,042a78d561b6154053f8155e07b9872b323b9ca900db9b3c324bc5e8f02265af,1272944,image/png,video-009,26,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,BEST_AVAILABLE_SIDE_OR_THREE_QUARTER,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_earshape_004-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004_MENU_EVIDENCE_video-009_26p00s.png,derivative,menuEvidenceFrame,042a78d561b6154053f8155e07b9872b323b9ca900db9b3c324bc5e8f02265af,1272944,image/png,video-009,26,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,MENU,2026-07-13T01:37:28.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Ear Shape label. Frame is a local derivative and is not production data. Category: Ear Shape.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_eyecolor_001-character_stable,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001_CHARACTER_STABLE_video-007_13p00s.png,derivative,catalogDerivativeFrame,b99e80a249cc920e5e89e87d14361562d2924012e41728f027c14b819326ea2e,1434091,image/png,video-007,13,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-eye-color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,CHARACTER_STABLE,2026-07-13T01:30:40.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Eye Color label. Frame is a local derivative and is not production data. Category: Eye Color.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,evidence-frame-cf27_xboxunknown_rtg_eyecolor_001-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001_MENU_THUMBNAIL_EVIDENCE_video-007_13p00s.png,derivative,menuEvidenceFrame,b99e80a249cc920e5e89e87d14361562d2924012e41728f027c14b819326ea2e,1434091,image/png,video-007,13,env-cf27-research-video-001-rtg-path,cf27-menu-head-skin-eye-color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,MENU,2026-07-13T01:30:40.000000Z,UNKNOWN_RESEARCHER,PRIMARY_RESEARCH_ONLY_NOT_SECOND_VERIFIED,CURRENT,valid,Full-screen frame extracted from a directly selected Eye Color label. Frame is a local derivative and is not production data. Category: Eye Color.
