packageLabel,stableInternalID,nativeOrder,category,nativeOption,kind,verificationState,productionStatus,selectedEvidence,sourceImageFrameIDs,missingViews,recaptureRequired,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_001,1,Head Template,Face 1,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:10-19,evidence-frame-cf27_xboxunknown_rtg_head_001-front|evidence-frame-cf27_xboxunknown_rtg_head_001-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_001-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_001-menu|evidence-frame-cf27_xboxunknown_rtg_head_001-rear|evidence-frame-cf27_xboxunknown_rtg_head_001-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_001-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_002,2,Head Template,Face 2,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:20-28,evidence-frame-cf27_xboxunknown_rtg_head_002-front|evidence-frame-cf27_xboxunknown_rtg_head_002-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_002-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_002-menu|evidence-frame-cf27_xboxunknown_rtg_head_002-rear|evidence-frame-cf27_xboxunknown_rtg_head_002-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_002-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_003,3,Head Template,Face 3,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:29-38,evidence-frame-cf27_xboxunknown_rtg_head_003-front|evidence-frame-cf27_xboxunknown_rtg_head_003-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_003-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_003-menu|evidence-frame-cf27_xboxunknown_rtg_head_003-rear|evidence-frame-cf27_xboxunknown_rtg_head_003-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_003-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_004,4,Head Template,Face 4,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:39-48,evidence-frame-cf27_xboxunknown_rtg_head_004-front|evidence-frame-cf27_xboxunknown_rtg_head_004-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_004-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_004-menu|evidence-frame-cf27_xboxunknown_rtg_head_004-rear|evidence-frame-cf27_xboxunknown_rtg_head_004-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_004-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_005,5,Head Template,Face 5,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:69-74,evidence-frame-cf27_xboxunknown_rtg_head_005-front|evidence-frame-cf27_xboxunknown_rtg_head_005-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_005-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_005-menu|evidence-frame-cf27_xboxunknown_rtg_head_005-rear|evidence-frame-cf27_xboxunknown_rtg_head_005-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_005-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_006,6,Head Template,Face 6,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:60-68,evidence-frame-cf27_xboxunknown_rtg_head_006-front|evidence-frame-cf27_xboxunknown_rtg_head_006-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_006-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_006-menu|evidence-frame-cf27_xboxunknown_rtg_head_006-rear|evidence-frame-cf27_xboxunknown_rtg_head_006-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_006-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_007,7,Head Template,Face 7,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:54-59,evidence-frame-cf27_xboxunknown_rtg_head_007-front|evidence-frame-cf27_xboxunknown_rtg_head_007-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_007-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_007-menu|evidence-frame-cf27_xboxunknown_rtg_head_007-rear|evidence-frame-cf27_xboxunknown_rtg_head_007-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_007-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_008,8,Head Template,Face 8,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:49-53,evidence-frame-cf27_xboxunknown_rtg_head_008-front|evidence-frame-cf27_xboxunknown_rtg_head_008-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_008-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_008-menu|evidence-frame-cf27_xboxunknown_rtg_head_008-rear|evidence-frame-cf27_xboxunknown_rtg_head_008-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_008-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_009,9,Head Template,Face 9,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:75-79,evidence-frame-cf27_xboxunknown_rtg_head_009-front|evidence-frame-cf27_xboxunknown_rtg_head_009-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_009-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_009-menu|evidence-frame-cf27_xboxunknown_rtg_head_009-rear|evidence-frame-cf27_xboxunknown_rtg_head_009-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_009-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_010,10,Head Template,Face 10,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:80-88,evidence-frame-cf27_xboxunknown_rtg_head_010-front|evidence-frame-cf27_xboxunknown_rtg_head_010-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_010-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_010-menu|evidence-frame-cf27_xboxunknown_rtg_head_010-rear|evidence-frame-cf27_xboxunknown_rtg_head_010-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_010-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_011,11,Head Template,Face 11,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:89-94,evidence-frame-cf27_xboxunknown_rtg_head_011-front|evidence-frame-cf27_xboxunknown_rtg_head_011-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_011-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_011-menu|evidence-frame-cf27_xboxunknown_rtg_head_011-rear|evidence-frame-cf27_xboxunknown_rtg_head_011-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_011-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Head Template,Face 12,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:95-100|video-003:0-5,evidence-frame-cf27_xboxunknown_rtg_head_012-front|evidence-frame-cf27_xboxunknown_rtg_head_012-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_012-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_012-menu|evidence-frame-cf27_xboxunknown_rtg_head_012-rear|evidence-frame-cf27_xboxunknown_rtg_head_012-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_012-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_013,13,Head Template,Face 13,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:27-32,evidence-frame-cf27_xboxunknown_rtg_head_013-front|evidence-frame-cf27_xboxunknown_rtg_head_013-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_013-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_013-menu|evidence-frame-cf27_xboxunknown_rtg_head_013-rear|evidence-frame-cf27_xboxunknown_rtg_head_013-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_013-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_014,14,Head Template,Face 14,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:19-26,evidence-frame-cf27_xboxunknown_rtg_head_014-front|evidence-frame-cf27_xboxunknown_rtg_head_014-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_014-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_014-menu|evidence-frame-cf27_xboxunknown_rtg_head_014-rear|evidence-frame-cf27_xboxunknown_rtg_head_014-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_014-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered notificationOverlayObserved=true Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_015,15,Head Template,Face 15,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:106-108.8|video-003:13-18,evidence-frame-cf27_xboxunknown_rtg_head_015-front|evidence-frame-cf27_xboxunknown_rtg_head_015-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_015-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_015-menu|evidence-frame-cf27_xboxunknown_rtg_head_015-rear|evidence-frame-cf27_xboxunknown_rtg_head_015-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_015-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Head Template,Face 16,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-002:101-105|video-003:6-12,evidence-frame-cf27_xboxunknown_rtg_head_016-front|evidence-frame-cf27_xboxunknown_rtg_head_016-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_016-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_016-menu|evidence-frame-cf27_xboxunknown_rtg_head_016-rear|evidence-frame-cf27_xboxunknown_rtg_head_016-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_016-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_017,17,Head Template,Face 17,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:33-39,evidence-frame-cf27_xboxunknown_rtg_head_017-front|evidence-frame-cf27_xboxunknown_rtg_head_017-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_017-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_017-menu|evidence-frame-cf27_xboxunknown_rtg_head_017-rear|evidence-frame-cf27_xboxunknown_rtg_head_017-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_017-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_018,18,Head Template,Face 18,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:40-47,evidence-frame-cf27_xboxunknown_rtg_head_018-front|evidence-frame-cf27_xboxunknown_rtg_head_018-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_018-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_018-menu|evidence-frame-cf27_xboxunknown_rtg_head_018-rear|evidence-frame-cf27_xboxunknown_rtg_head_018-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_018-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_019,19,Head Template,Face 19,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:48-55,evidence-frame-cf27_xboxunknown_rtg_head_019-front|evidence-frame-cf27_xboxunknown_rtg_head_019-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_019-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_019-menu|evidence-frame-cf27_xboxunknown_rtg_head_019-rear|evidence-frame-cf27_xboxunknown_rtg_head_019-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_019-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_020,20,Head Template,Face 20,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:68-75,evidence-frame-cf27_xboxunknown_rtg_head_020-front|evidence-frame-cf27_xboxunknown_rtg_head_020-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_020-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_020-menu|evidence-frame-cf27_xboxunknown_rtg_head_020-rear|evidence-frame-cf27_xboxunknown_rtg_head_020-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_020-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered notificationOverlayObserved=true Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_021,21,Head Template,Face 21,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:80-84,evidence-frame-cf27_xboxunknown_rtg_head_021-front|evidence-frame-cf27_xboxunknown_rtg_head_021-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_021-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_021-menu|evidence-frame-cf27_xboxunknown_rtg_head_021-rear|evidence-frame-cf27_xboxunknown_rtg_head_021-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_021-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_022,22,Head Template,Face 22,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:76-79,evidence-frame-cf27_xboxunknown_rtg_head_022-front|evidence-frame-cf27_xboxunknown_rtg_head_022-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_022-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_022-menu|evidence-frame-cf27_xboxunknown_rtg_head_022-rear|evidence-frame-cf27_xboxunknown_rtg_head_022-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_022-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_023,23,Head Template,Face 23,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:56-62,evidence-frame-cf27_xboxunknown_rtg_head_023-front|evidence-frame-cf27_xboxunknown_rtg_head_023-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_023-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_023-menu|evidence-frame-cf27_xboxunknown_rtg_head_023-rear|evidence-frame-cf27_xboxunknown_rtg_head_023-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_023-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_024,24,Head Template,Face 24,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:63-67,evidence-frame-cf27_xboxunknown_rtg_head_024-front|evidence-frame-cf27_xboxunknown_rtg_head_024-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_024-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_024-menu|evidence-frame-cf27_xboxunknown_rtg_head_024-rear|evidence-frame-cf27_xboxunknown_rtg_head_024-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_024-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered notificationOverlayObserved=true Black cheek eye paint visible and may obstruct under-eye/cheek review.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_HEAD_025,25,Head Template,Face 25,,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-003:85-93,evidence-frame-cf27_xboxunknown_rtg_head_025-front|evidence-frame-cf27_xboxunknown_rtg_head_025-left_3q|evidence-frame-cf27_xboxunknown_rtg_head_025-left_profile|evidence-frame-cf27_xboxunknown_rtg_head_025-menu|evidence-frame-cf27_xboxunknown_rtg_head_025-rear|evidence-frame-cf27_xboxunknown_rtg_head_025-right_3q|evidence-frame-cf27_xboxunknown_rtg_head_025-right_profile,elevated|lowered,true,captureCompleteness=primary_rotation_views_present_missing_elevated_and_lowered notificationOverlayObserved=true Black cheek eye paint visible and may obstruct under-eye/cheek review.
