packageLabel,issueID,issueKind,severity,status,title,affectedRecordIDs,recaptureRequestID,evidenceFileIDs,description
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-hair-not-opened,missingEvidence,warning,open,Hair menu visible but not opened in video-001,creation-path-cf27-rtg-qb-create-player-hair-video-001|menu-cf27-create-player-hair,recapture-cf27-video-001-open-hair-menu,evidence-cf27-video-001-source,"Hair is visible under Appearance at 44s, but this recording does not show the Hair menu entered. A later audit video is required before treating Hair controls as discovered."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-capture-hardware,missingEvidence,blocking,open,Missing environment field: capture hardware,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-capture-hardware,evidence-cf27-video-001-source,Exact capture hardware is not visible beyond Xbox screen-recording context.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-console-model,missingEvidence,blocking,open,Missing environment field: console model,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-console-model,evidence-cf27-video-001-source,Console model / Xbox Series X versus Series S is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-console-os-version,missingEvidence,blocking,open,Missing environment field: console os version,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-console-os-version,evidence-cf27-video-001-source,Console OS version is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-copy-type,missingEvidence,blocking,open,Missing environment field: copy type,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-copy-type,evidence-cf27-video-001-source,Disc/digital/copy type is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-display-model,missingEvidence,blocking,open,Missing environment field: display model,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-display-model,evidence-cf27-video-001-source,Display model is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-ea-account-state,missingEvidence,blocking,open,Missing environment field: ea account state,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-ea-account-state,evidence-cf27-video-001-source,EA account state is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-edition,missingEvidence,blocking,open,Missing environment field: edition,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-edition,evidence-cf27-video-001-source,Game edition is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-game-executable-version,missingEvidence,blocking,open,Missing environment field: game executable version,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-game-executable-version,evidence-cf27-video-001-source,Exact executable version is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-hdr,missingEvidence,blocking,open,Missing environment field: hdr,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-hdr,evidence-cf27-video-001-source,HDR state is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-latest-update-state,missingEvidence,blocking,open,Missing environment field: latest update state,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-latest-update-state,evidence-cf27-video-001-source,Latest update state is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-online-state,missingEvidence,blocking,open,Missing environment field: online state,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-online-state,evidence-cf27-video-001-source,Online/offline state is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-output-resolution,missingEvidence,blocking,open,Missing environment field: output resolution,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-output-resolution,evidence-cf27-video-001-source,Console/display output resolution is not visible; source video resolution is known separately.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-patch,missingEvidence,blocking,open,Missing environment field: patch,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-patch,evidence-cf27-video-001-source,Patch identifier is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-region,missingEvidence,blocking,open,Missing environment field: region,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-region,evidence-cf27-video-001-source,Region is not visible.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,issue-cf27-video-001-missing-storefront,missingEvidence,blocking,open,Missing environment field: storefront,env-cf27-research-video-001-rtg-path,recapture-cf27-video-001-storefront,evidence-cf27-video-001-source,Storefront is not visible.
