packageLabel,stableInternalID,nativeOrder,category,nativeOption,kind,verificationState,productionStatus,selectedEvidence,sourceImageFrameIDs,missingViews,recaptureRequired,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,1,Skin Details,None,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:7.0-8.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_001-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_001-menu|frame-cf27_xboxunknown_rtg_skindetails_001-character_stable|frame-cf27_xboxunknown_rtg_skindetails_001-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,2,Skin Details,Freckles 2,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:9.0-11.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_002-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_002-menu|frame-cf27_xboxunknown_rtg_skindetails_002-character_stable|frame-cf27_xboxunknown_rtg_skindetails_002-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,3,Skin Details,Scar 3,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:12.0-14.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_003-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_003-menu|frame-cf27_xboxunknown_rtg_skindetails_003-character_stable|frame-cf27_xboxunknown_rtg_skindetails_003-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,4,Skin Details,Scar 2,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:15.0-16.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_004-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_004-menu|frame-cf27_xboxunknown_rtg_skindetails_004-character_stable|frame-cf27_xboxunknown_rtg_skindetails_004-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,5,Skin Details,Scar 1,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:23.0-24.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_005-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_005-menu|frame-cf27_xboxunknown_rtg_skindetails_005-character_stable|frame-cf27_xboxunknown_rtg_skindetails_005-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,6,Skin Details,Acne Scar 1,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:21.0-22.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_006-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_006-menu|frame-cf27_xboxunknown_rtg_skindetails_006-character_stable|frame-cf27_xboxunknown_rtg_skindetails_006-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,7,Skin Details,Redness 3,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:19.0-20.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_007-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_007-menu|frame-cf27_xboxunknown_rtg_skindetails_007-character_stable|frame-cf27_xboxunknown_rtg_skindetails_007-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,8,Skin Details,Redness 2,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:17.0-18.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_008-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_008-menu|frame-cf27_xboxunknown_rtg_skindetails_008-character_stable|frame-cf27_xboxunknown_rtg_skindetails_008-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,9,Skin Details,Redness 1,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:25.0-26.0,evidence-frame-cf27_xboxunknown_rtg_skindetails_009-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_009-menu|frame-cf27_xboxunknown_rtg_skindetails_009-character_stable|frame-cf27_xboxunknown_rtg_skindetails_009-menu,,false,captureCompleteness=[object Object]
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,10,Skin Details,Freckles 1,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-005:27.0-31.72,evidence-frame-cf27_xboxunknown_rtg_skindetails_010-character_stable|evidence-frame-cf27_xboxunknown_rtg_skindetails_010-menu|frame-cf27_xboxunknown_rtg_skindetails_010-character_stable|frame-cf27_xboxunknown_rtg_skindetails_010-menu,,false,captureCompleteness=[object Object]
