packageLabel,stableInternalID,nativeOrder,category,nativeOption,kind,verificationState,productionStatus,selectedEvidence,sourceImageFrameIDs,missingViews,recaptureRequired,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_001,1,Skin Tone,Skin Tone 01,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:45.0-46.0,evidence-frame-cf27_xboxunknown_rtg_skintone_001-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_001-menu|frame-cf27_xboxunknown_rtg_skintone_001-character_stable|frame-cf27_xboxunknown_rtg_skintone_001-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_002,2,Skin Tone,Skin Tone 02,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:47.0-47.0,evidence-frame-cf27_xboxunknown_rtg_skintone_002-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_002-menu|frame-cf27_xboxunknown_rtg_skintone_002-character_stable|frame-cf27_xboxunknown_rtg_skintone_002-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_003,3,Skin Tone,Skin Tone 03,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:48.0-49.0,evidence-frame-cf27_xboxunknown_rtg_skintone_003-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_003-menu|frame-cf27_xboxunknown_rtg_skintone_003-character_stable|frame-cf27_xboxunknown_rtg_skintone_003-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_004,4,Skin Tone,Skin Tone 04,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:12.0-13.0,evidence-frame-cf27_xboxunknown_rtg_skintone_004-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_004-menu|frame-cf27_xboxunknown_rtg_skintone_004-character_stable|frame-cf27_xboxunknown_rtg_skintone_004-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_005,5,Skin Tone,Skin Tone 05,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:29.0-30.0,evidence-frame-cf27_xboxunknown_rtg_skintone_005-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_005-menu|frame-cf27_xboxunknown_rtg_skintone_005-character_stable|frame-cf27_xboxunknown_rtg_skintone_005-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_006,6,Skin Tone,Skin Tone 06,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:25.0-26.0,evidence-frame-cf27_xboxunknown_rtg_skintone_006-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_006-menu|frame-cf27_xboxunknown_rtg_skintone_006-character_stable|frame-cf27_xboxunknown_rtg_skintone_006-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_007,7,Skin Tone,Skin Tone 07,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:27.0-28.0,evidence-frame-cf27_xboxunknown_rtg_skintone_007-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_007-menu|frame-cf27_xboxunknown_rtg_skintone_007-character_stable|frame-cf27_xboxunknown_rtg_skintone_007-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_008,8,Skin Tone,Skin Tone 08,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:10.0-11.0,evidence-frame-cf27_xboxunknown_rtg_skintone_008-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_008-menu|frame-cf27_xboxunknown_rtg_skintone_008-character_stable|frame-cf27_xboxunknown_rtg_skintone_008-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_009,9,Skin Tone,Skin Tone 09,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:8.0-9.0,evidence-frame-cf27_xboxunknown_rtg_skintone_009-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_009-menu|frame-cf27_xboxunknown_rtg_skintone_009-character_stable|frame-cf27_xboxunknown_rtg_skintone_009-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_010,10,Skin Tone,Skin Tone 10,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:41.0-42.0,evidence-frame-cf27_xboxunknown_rtg_skintone_010-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_010-menu|frame-cf27_xboxunknown_rtg_skintone_010-character_stable|frame-cf27_xboxunknown_rtg_skintone_010-menu,,false,
