workspaceID,catalogStableID,nativeOrder,visibleGameLabelOrIndex,supportingViewCount,humanAnnotationCount,annotationStatus,verificationState,productionStatus,readyForProductionCatalog
head-annotation-workspace-cf27_xboxunknown_rtg_head_001,CF27_XBOXUNKNOWN_RTG_HEAD_001,1,Face 1,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_002,CF27_XBOXUNKNOWN_RTG_HEAD_002,2,Face 2,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_003,CF27_XBOXUNKNOWN_RTG_HEAD_003,3,Face 3,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_004,CF27_XBOXUNKNOWN_RTG_HEAD_004,4,Face 4,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_005,CF27_XBOXUNKNOWN_RTG_HEAD_005,5,Face 5,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_006,CF27_XBOXUNKNOWN_RTG_HEAD_006,6,Face 6,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_007,CF27_XBOXUNKNOWN_RTG_HEAD_007,7,Face 7,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_008,CF27_XBOXUNKNOWN_RTG_HEAD_008,8,Face 8,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_009,CF27_XBOXUNKNOWN_RTG_HEAD_009,9,Face 9,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_010,CF27_XBOXUNKNOWN_RTG_HEAD_010,10,Face 10,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
