stableInternalID,nativeOrder,visibleGameLabelOrIndex,decodedSupportingFrameCount,faceBBoxAvailable,faceWidthToHeightRatio,jawWidthRatio,chinWidthRatio,eyeSpacingRatioStatus,noseWidthRatioStatus,mouthWidthRatioStatus,readyForProductionMatching
CF27_XBOXUNKNOWN_RTG_HEAD_001,1,Face 1,6,available,0.8874,0.3258,0.1733,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_002,2,Face 2,6,available,0.7491,0.4853,0.4412,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_003,3,Face 3,6,available,0.7435,0.3124,0.1867,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_004,4,Face 4,6,available,0.6618,0.8485,0.0996,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_005,5,Face 5,6,available,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_006,6,Face 6,6,available,0.7428,0.2473,0.2545,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_007,7,Face 7,6,available,0.7261,0.5014,0.2696,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_008,8,Face 8,6,available,0.6659,0.8402,0.2192,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_009,9,Face 9,6,available,0.7395,0.4332,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_010,10,Face 10,6,available,0.9305,0.2892,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_011,11,Face 11,6,available,0.5277,0.873,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Face 12,6,available,0.836,0.2717,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_013,13,Face 13,6,available,0.6707,0.4541,0.2178,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_014,14,Face 14,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_015,15,Face 15,6,available,0.8725,0.2045,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Face 16,6,available,0.7779,0.3346,0.5607,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_017,17,Face 17,6,available,0.7121,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_018,18,Face 18,6,available,0.5321,0.7543,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_019,19,Face 19,6,available,0.4655,0.636,0.0879,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_020,20,Face 20,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_021,21,Face 21,6,available,0.5091,0.1882,0.1176,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_022,22,Face 22,6,available,0.8523,0.6923,0.235,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_023,23,Face 23,6,available,0.6923,0.445,0.3566,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_024,24,Face 24,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_025,25,Face 25,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_026,26,Face 26,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_027,27,Face 27,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_028,28,Face 28,6,unavailable,,,,unavailable,unavailable,unavailable,false
CF27_XBOXUNKNOWN_RTG_HEAD_029,29,Face 29,6,unavailable,,,,unavailable,unavailable,unavailable,false
