reviewID,category,stableInternalID,nativeOrder,candidateNativeLabel,ocrTextNormalized,ocrConfidence,reviewReason,priority,frameID,framePath,cropX,cropY,cropWidth,cropHeight,requiredAction
ocr-review-cf27_xboxunknown_rtg_skindetails_001,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,1,None,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_001-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001_MENU_video-005_8p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_002,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,2,Freckles 2,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_002-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002_MENU_video-005_10p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_003,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,3,Scar 3,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_003-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003_MENU_video-005_13p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_004,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,4,Scar 2,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_004-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004_MENU_video-005_15p50s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_005,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,5,Scar 1,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_005-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005_MENU_video-005_24p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_006,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,6,Acne Scar 1,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_006-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006_MENU_video-005_22p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_007,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,7,Redness 3,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_007-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007_MENU_video-005_20p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_008,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,8,Redness 2,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_008-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008_MENU_video-005_18p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_009,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,9,Redness 1,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_009-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009_MENU_video-005_26p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_skindetails_010,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,10,Freckles 1,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_skindetails_010-menu,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010_MENU_video-005_29p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
