inventory_id,sequence,manifest_original_filename,discovered_filename,working_filename,absolute_discovery_path_internal,portable_relative_evidence_path,sha256,file_size_bytes,duration_seconds,width,height,observed_fps,time_base_fps,video_codec,audio_codec,container,creation_time_utc,filesystem_modified_time_local,identified_content,beginning_menu_state,ending_menu_state,begins_mid_option,ends_mid_option,overlaps_another_recording,exact_duplicate,duplicate_of_inventory_id,acceptance_status,review_notes
video-001,1,01_Environment_and_Creation_Path.MP4,01_Environment_and_Creation_Path.MP4,01_Environment_and_Creation_Path.mp4,/Users/skaggssystems/Downloads/01_Environment_and_Creation_Path.MP4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,6f42d3ef2572810fc09ac5138970dee5f325c539925f084a130d3fdcf7c2a0b2,156142794,73.57,1920,1080,58.96,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-12T19:03:45.000000Z,2026-07-12T15:03:45-04:00,Environment and Road to Glory creation path,College Football 27 main/menu hub with Road to Glory visible in the left menu,Create Player appearance path/menu state,false,false,false,false,,accepted_research_candidate,Accepted as primary research evidence for environment and creation-path mapping. Not production catalog data.
video-002,2,02_Appearance_Menu_Part_1.mp4.MOV,02_Appearance_Menu_Part_1.mp4.MOV,02_Head_Templates_Faces_01-12.mov,/Users/skaggssystems/Downloads/02_Appearance_Menu_Part_1.mp4.MOV,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53,254684699,108.8,1920,1080,58.95,59.94,h264 Main,aac LC stereo 48000 Hz,QuickTime/MOV,2026-07-13T01:19:19.000000Z,2026-07-12T15:05:22-04:00,Head Template captures; manifest states Face 1 through Face 12,Create Player / Appearance menu,Head Template grid; sampled end frame shows the recording continues beyond Face 12 to at least Face 15,false,true,true,false,,partially_accepted_research_candidate,"Direct frame review confirms Head Template content and Face 12 overlap, but the stated Faces 1-12 working range is incomplete because sampled later frames show additional faces. Requires frame-level segmentation before catalog extraction."
video-003,3,02_Appearance_Menu_Part_2.mp4.MOV,02_Appearance_Menu_Part_2.mp4.MOV,03_Head_Templates_Faces_12-29.mov,/Users/skaggssystems/Downloads/02_Appearance_Menu_Part_2.mp4.MOV,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,c348b96b1414927fca5ab12f8a65cc7668a6fdb22a2622c99e11a984d819a302,302595103,133.02,1920,1080,58.94,59.94,h264 Main,aac LC stereo 48000 Hz,QuickTime/MOV,2026-07-13T01:20:02.000000Z,2026-07-12T15:05:22-04:00,Head Template captures; manifest states Face 12 through Face 29,Head Template grid at Face 12,Head Template grid after the sampled Face 20 range; exact final visible option requires frame-level review,true,true,true,false,,partially_accepted_research_candidate,Direct frame review confirms the Face 12 overlap and Head Template content. Requires frame-level segmentation to validate the full claimed range before any catalog records are created.
video-004,4,03_Appearance_Skin_Tone.MP4,03_Appearance_Skin_Tone.MP4,04_Skin_Tone.mp4,/Users/skaggssystems/Downloads/03_Appearance_Skin_Tone.MP4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146,128477357,53.82,1920,1080,58.97,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:27:47.000000Z,2026-07-12T21:27:47-04:00,Skin Tone menu and options,Create Player / Head & Skin submenu before Skin Tone grid,Skin Tone grid,false,true,false,false,,accepted_research_candidate,Exact duplicate video-010 was also discovered and is retained as duplicate provenance only.
video-005,5,04_Appearance_Skin_Details.MP4,04_Appearance_Skin_Details.MP4,05_Skin_Details.mp4,/Users/skaggssystems/Downloads/04_Appearance_Skin_Details.MP4,OWNER_DOWNLOADS/04_Appearance_Skin_Details.MP4,a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b,78206366,31.72,1920,1080,58.9,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:28:50.000000Z,2026-07-12T21:28:50-04:00,Skin Details menu and options,Create Player / Head & Skin submenu before Skin Details grid,Skin Details grid,false,true,false,false,,accepted_research_candidate,Exact duplicate video-011 was also discovered and is retained as duplicate provenance only.
video-006,6,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,06_Eye_Shape.mp4,/Users/skaggssystems/Downloads/45926e39-7553-43b1-803a-6ddc787c63dd.MP4,OWNER_DOWNLOADS/45926e39-7553-43b1-803a-6ddc787c63dd.MP4,84bdb04ca232a662a8add3ceef92f021ad6c96d241e536b12c0af968f3d92ca2,61265737,24.93,1920,1080,58.89,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:29:49.000000Z,2026-07-12T21:29:49-04:00,Eye Shape menu and options,Create Player / Head & Skin submenu before Eye Shape; includes navigation through earlier tabs,Eye Shape grid,false,true,false,false,,partially_accepted_research_candidate,Accepted for research review of Eye Shape after navigation lead-in. Requires category segmentation before publication.
video-007,7,352535,a1e6193d-625e-4880-8977-3a8c7670c336.MP4,07_Eye_Color.mp4,/Users/skaggssystems/Downloads/a1e6193d-625e-4880-8977-3a8c7670c336.MP4,OWNER_DOWNLOADS/a1e6193d-625e-4880-8977-3a8c7670c336.MP4,c07fdab8d65b19859ae5985dc4fb06bb9919aecf597996ab74463bc6020acfd3,73201886,29.33,1920,1080,58.98,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:30:40.000000Z,2026-07-12T21:30:40-04:00,Eye Color menu and options,Create Player / Head & Skin submenu before Eye Color,Eye Color grid,false,true,false,false,,accepted_research_candidate,Manifest original filename lacked an extension; current discovered file name is retained separately for provenance.
video-008,8,352537,5bcd4869-531b-41bf-b643-5331f34cb3f3.MP4,08_Nose.mp4,/Users/skaggssystems/Downloads/5bcd4869-531b-41bf-b643-5331f34cb3f3.MP4,OWNER_DOWNLOADS/5bcd4869-531b-41bf-b643-5331f34cb3f3.MP4,301b6c7ba55233503e54296e55366cdd0468f0c23b5117be6ca5ff0363d5e5b7,80062286,32.45,1920,1080,58.92,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:31:15.000000Z,2026-07-12T21:31:15-04:00,Nose menu and options,Create Player / Head & Skin submenu before Nose,Nose grid,false,true,false,false,,accepted_research_candidate,Manifest original filename lacked an extension; current discovered file name is retained separately for provenance.
video-009,9,352531,55b7d607-eefa-41a4-8635-1eedb5296ab0.MP4,09_Ear_Shape.mp4,/Users/skaggssystems/Downloads/55b7d607-eefa-41a4-8635-1eedb5296ab0.MP4,OWNER_DOWNLOADS/55b7d607-eefa-41a4-8635-1eedb5296ab0.MP4,e615e0919ebc50da7cdb1ec27ea302e28ac632b01728a88ca28ab0bb1f5902a1,69914730,30.21,1920,1080,58.91,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:37:28.000000Z,2026-07-12T21:37:28-04:00,Ear Shape menu and options,Create Player / Head & Skin submenu before Ear Shape,Ear Shape grid,false,true,false,false,,partially_accepted_research_candidate,Accepted for research review of Ear Shape after navigation lead-in. Requires category segmentation before publication.
video-010,,,7cafeb6e-0488-42e6-8d6d-5836f8e30daf.MP4,duplicate-reference-of-04_Skin_Tone.mp4,/Users/skaggssystems/Downloads/7cafeb6e-0488-42e6-8d6d-5836f8e30daf.MP4,OWNER_DOWNLOADS/7cafeb6e-0488-42e6-8d6d-5836f8e30daf.MP4,a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146,128477357,53.82,1920,1080,58.97,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:27:47.000000Z,2026-07-12T21:27:47-04:00,Exact duplicate of Skin Tone menu and options recording,Same as video-004,Same as video-004,false,true,true,true,video-004,rejected_duplicate_reference_only,Do not delete. Preserve as provenance-only duplicate; do not use as an additional independent evidence source.
video-011,,,4df34d2b-7dea-4afe-8dcc-05583430012f.MP4,duplicate-reference-of-05_Skin_Details.mp4,/Users/skaggssystems/Downloads/4df34d2b-7dea-4afe-8dcc-05583430012f.MP4,OWNER_DOWNLOADS/4df34d2b-7dea-4afe-8dcc-05583430012f.MP4,a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b,78206366,31.72,1920,1080,58.9,59.94,h264 Main,aac LC stereo 48000 Hz,MP4,2026-07-13T01:28:50.000000Z,2026-07-12T21:28:50-04:00,Exact duplicate of Skin Details menu and options recording,Same as video-005,Same as video-005,false,true,true,true,video-005,rejected_duplicate_reference_only,Do not delete. Preserve as provenance-only duplicate; do not use as an additional independent evidence source.
