timelineId,videoId,workingFilename,portableRelativeEvidencePath,startSeconds,endSeconds,eventTypes,menuHeading,selectedNativeOptionLabel,selectionState,visibleNonSelectedLabels,viewCoverage,characterLoading,stableVisualPeriod,rotationObserved,notificationOverlayObserved,motionBlurObserved,menuExitObserved,recordingGapObserved,inspectionBasis,notes
video-001-tl-001,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,0.0,7.0,navigation_screens|stable_visual_periods,College Football hub / Road to Glory navigation,,not_applicable,,menu,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Main hub/navigation state; Road to Glory is visible in the left navigation. Not catalog option evidence.
video-001-tl-002,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,8.0,11.0,navigation_screens|character_loading_periods,Road to Glory transition/loading,,not_applicable,,,True,False,False,False,False,False,False,direct_1fps_contact_sheet,Road to Glory splash/loading transition.
video-001-tl-003,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,12.0,17.0,navigation_screens|stable_visual_periods,Road to Glory menu/start area,,not_applicable,,menu,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Road to Glory setup/navigation screens; exact small labels require a later frame-level pass before use as creation-path evidence.
video-001-tl-004,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,18.0,23.0,navigation_screens|native_option_labels|option_changes|stable_visual_periods,Archetype / prospect selection cards,,visible_cards_not_catalog_options,ELITE|BLUE CHIP|CONTRIBUTOR|UNDERDOG,menu,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Card labels are visible in the creation-flow UI. They are not College Football 27 appearance catalog records.
video-001-tl-005,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,24.0,29.0,navigation_screens|stable_visual_periods,Player setup / position path,QB,visible_setup_label,,menu,False,True,False,False,False,False,False,direct_1fps_contact_sheet,"QB appears on the setup screen; this is creation-path evidence, not appearance option evidence."
video-001-tl-006,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,30.0,32.0,navigation_screens|character_loading_periods,Transition into player creation,,not_applicable,,,True,False,False,False,False,False,False,direct_1fps_contact_sheet,Stadium/football transition before player-creation appearance screens.
video-001-tl-007,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,33.0,37.0,navigation_screens|stable_visual_periods|front_views,Create Player appearance path/menu,,not_applicable,,front_view|full_body,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Created-player appearance area becomes visible.
video-001-tl-008,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,38.0,45.0,navigation_screens|stable_visual_periods|front_views,Create Player menu navigation,,not_applicable,,front_view|full_body,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Menu navigation continues; small labels are not indexed as appearance options.
video-001-tl-009,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,46.0,57.0,navigation_screens|rotations|front_views|three_quarter_views|profile_views|motion_blur,Create Player preview / build-equipment area,,not_applicable,,front_view|three_quarter_view|profile_view|full_body,False,False,True,False,True,False,False,direct_1fps_contact_sheet,Player preview rotates/moves; useful for creation-path context only.
video-001-tl-010,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,58.0,66.0,navigation_screens|stable_visual_periods|front_views,Create Player menu navigation,,not_applicable,,front_view|full_body,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Stable menu/player preview after rotation.
