artifact_id,source_media_id,artifact_type,relative_path,original_start_timestamp,original_end_timestamp,derived_sha256,size_bytes,status,error
ART_GFM_MEDIA_FC26_6AB6BFCA771C_REVIEW_PROXY_000000p000_AA3651F8,GFM_MEDIA_FC26_6AB6BFCA771C,review_proxy,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/proxies/GFM_MEDIA_FC26_6AB6BFCA771C_PROXY_000000p000-000400p980.mp4,00:00:00.000,00:04:00.980,82d4fd277337cd7aeba33bcce26cf530a8d53937a9ded69b7649b41ef945e1c0,5909498,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000000p000_B81546A4,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000000p000.png,00:00:00.000,00:00:00.000,9f52cdddd05c535043071a5963fc51703a865a982e8d6975b0bda78f3f665625,1759832,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000005p000_2DA861FC,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000005p000.png,00:00:05.000,00:00:05.000,5b18ed796dc97095958ad10fd6d91d4345430527fac7433f759c3bb87c544771,1801680,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000010p000_0BB57E4C,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000010p000.png,00:00:10.000,00:00:10.000,1010d2f599955c36f614722793b9c28bab04f14247a3053b6bd506aa31112570,1816137,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000020p000_B85AAAC4,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000020p000.png,00:00:20.000,00:00:20.000,7a703add8233080afeea19abf1afafd84b478f9e13ea45895bea0d07b12c887a,1798911,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000025p000_B1F125FA,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000025p000.png,00:00:25.000,00:00:25.000,802efd4a3ea73ed26fff9289c97fcd99a4a78019c9177665e395f33a96c21f6f,1786298,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000030p000_2E092685,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000030p000.png,00:00:30.000,00:00:30.000,25495b5dfd0f7ffee5ebb7fe8330f8caa012b8e30656d3f9871ccec6b4f2cc6b,1784161,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000035p000_DB728427,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000035p000.png,00:00:35.000,00:00:35.000,f166d0ab04c776826c25f4915099fa374ce9b42ee5802506389d50b69c6fe1f0,1792752,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000040p000_D86FCE04,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000040p000.png,00:00:40.000,00:00:40.000,db5d12d7f74e14040af013caae1605ada34cd50add993f788c16e2dc311e0cd2,1771387,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000045p000_707888E8,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000045p000.png,00:00:45.000,00:00:45.000,e734cff598dad641a0262ebba44d818eef13b81ee03c41c45237b092a9cffbec,1763784,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000050p000_EE197F0B,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000050p000.png,00:00:50.000,00:00:50.000,db586c28c4533a9552bc45c413c1dfcfa52d4c9f5ef48c8ebb09895084745d66,1745886,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000055p000_E2F1AA74,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000055p000.png,00:00:55.000,00:00:55.000,f86b06c492b5583e2ccdc684cbd0847c68bd36974f27ab02481e3bfca10f4338,1733224,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000100p000_84727AEA,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000100p000.png,00:01:00.000,00:01:00.000,59e27fec04df8935927e05b04a5d0068728c8928d605e19e5ccf70c05e85822d,1810020,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000105p000_A707AE65,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000105p000.png,00:01:05.000,00:01:05.000,8b2d9892ff3c905a1111996b085ce3c5bec97b2917c023467eb0e4046d1e35a0,1820282,GENERATED,
ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000110p000_09C3B7AA,GFM_MEDIA_FC26_6AB6BFCA771C,timestamped_frame,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000110p000.png,00:01:10.000,00:01:10.000,19a3fb55d61e363472a9ea56e2055acd6f38dfd8ea98ef4895bb83e18426fdb6,1814020,GENERATED,
